Analysis(PDF_6bins_emu_2jets,bottom,MV1c,0.1360,AntiKt4TopoLCJVF0_5)
{
      meta_data_s (Hadronization, Pythia6)

      bin(20<pt<30,0<abseta<2.5)
      {
         central_value(1.003508,0.020303)
         sys(HerwigVsPythiaemu_2jets,0.004237)
         sys(HerwigVsPythia,0.004237)
         sys(ISRFSRemu_2jets,-0.018999)
         sys(ISRFSR,-0.018999)
         sys(Alpgenemu_2jets,0.007858)
         sys(Alpgen,0.007858)
         sys(ISRFSRWt,-0.002832)
         sys(AlpgenZemu_2jets,-0.007819)
         sys(AlpgenZ,-0.007819)
         sys(HerwigVsAlpgenDibemu_2jets,0.006683)
         sys(HerwigVsAlpgenDib,0.006683)
         sys(JVF,-0.002364)
         sys(MuScale,-0.000803)
         sys(ElecEffic,0.000966)
         sys(MuonEffic,-0.000002)
         sys(ElecE,0.000148)
         sys(ElecEResol,-0.000242)
         sys(MuonEResolMS,0.000333)
         sys(MuonEResolID,0.000141)
         sys(METScaleSoftTerms,0.000004)
         sys(JetNPV,0.003306)
         sys(JetNP1,0.003422)
         sys(JetNP2,-0.008870)
         sys(JetNP3,0.003138)
         sys(JetNP4,-0.000898)
         sys(JetNP5,0.001199)
         sys(JetNP6_rest,0.000059)
         sys(JetMu,0.001821)
         sys(JetPilePt,0.000367)
         sys(JetPileRho,0.005020)
         sys(JetFlavComp,0.004661)
         sys(JetFlavResp,0.001529)
         sys(JetEtaModel,0.004176)
         sys(JetEtaStat,0.001829)
         sys(jet energy resolution,0.020531)
         sys(JetNonClos,0.003344)
         sys(JetFlavB,0.005237)
         sys(fakes,0.002964)
         sys(ZHF,-0.001596)
         sys(stop,0.008401)
         sys(Z,0.008105)
         sys(Mistag,-0.029716)
      }

      bin(30<pt<60,0<abseta<2.5)
      {
         central_value(1.009572,0.007121)
         sys(HerwigVsPythiaemu_2jets,0.006595)
         sys(HerwigVsPythia,0.006595)
         sys(ISRFSRemu_2jets,-0.008780)
         sys(ISRFSR,-0.008780)
         sys(Alpgenemu_2jets,0.002089)
         sys(Alpgen,0.002089)
         sys(ISRFSRWt,0.000553)
         sys(AlpgenZemu_2jets,-0.004398)
         sys(AlpgenZ,-0.004398)
         sys(HerwigVsAlpgenDibemu_2jets,0.005692)
         sys(HerwigVsAlpgenDib,0.005692)
         sys(JVF,0.000774)
         sys(MuScale,-0.000058)
         sys(ElecEffic,0.000647)
         sys(MuonEffic,-0.000016)
         sys(ElecE,-0.000255)
         sys(ElecEResol,-0.000227)
         sys(MuonEResolMS,0.000295)
         sys(MuonEResolID,-0.000013)
         sys(METScaleSoftTerms,0.000002)
         sys(JetNPV,0.000565)
         sys(JetNP1,0.003632)
         sys(JetNP2,-0.005005)
         sys(JetNP3,0.002342)
         sys(JetNP4,-0.000308)
         sys(JetNP5,-0.000360)
         sys(JetNP6_rest,0.000298)
         sys(JetMu,-0.000108)
         sys(JetPilePt,0.000164)
         sys(JetPileRho,0.001654)
         sys(JetFlavComp,0.003882)
         sys(JetFlavResp,0.002305)
         sys(JetEtaModel,0.002661)
         sys(JetEtaStat,0.000889)
         sys(jet energy resolution,0.003153)
         sys(JetNonClos,-0.000015)
         sys(JetFlavB,0.001415)
         sys(fakes,0.002247)
         sys(ZHF,0.000155)
         sys(stop,0.004065)
         sys(Z,0.005607)
         sys(Mistag,-0.003683)
      }

      bin(60<pt<90,0<abseta<2.5)
      {
         central_value(0.987633,0.006699)
         sys(HerwigVsPythiaemu_2jets,0.000483)
         sys(HerwigVsPythia,0.000483)
         sys(ISRFSRemu_2jets,-0.007175)
         sys(ISRFSR,-0.007175)
         sys(Alpgenemu_2jets,0.001905)
         sys(Alpgen,0.001905)
         sys(ISRFSRWt,0.001397)
         sys(AlpgenZemu_2jets,-0.003311)
         sys(AlpgenZ,-0.003311)
         sys(HerwigVsAlpgenDibemu_2jets,0.004619)
         sys(HerwigVsAlpgenDib,0.004619)
         sys(JVF,0.000898)
         sys(MuScale,-0.000032)
         sys(ElecEffic,0.000387)
         sys(MuonEffic,-0.000030)
         sys(ElecE,0.000122)
         sys(ElecEResol,-0.000007)
         sys(MuonEResolMS,0.000647)
         sys(MuonEResolID,0.000046)
         sys(METScaleSoftTerms,0.000002)
         sys(JetNPV,-0.000345)
         sys(JetNP1,0.000501)
         sys(JetNP2,0.000015)
         sys(JetNP3,0.000515)
         sys(JetNP4,0.000077)
         sys(JetNP5,-0.000643)
         sys(JetNP6_rest,-0.000004)
         sys(JetMu,0.000152)
         sys(JetPilePt,0.000003)
         sys(JetPileRho,-0.000568)
         sys(JetFlavComp,0.001787)
         sys(JetFlavResp,0.001110)
         sys(JetEtaModel,-0.000034)
         sys(JetEtaStat,0.000190)
         sys(jet energy resolution,0.000826)
         sys(JetNonClos,-0.000669)
         sys(JetFlavB,-0.001406)
         sys(fakes,0.001876)
         sys(ZHF,0.000403)
         sys(stop,0.002195)
         sys(Z,0.003561)
         sys(Mistag,-0.001447)
      }

      bin(90<pt<140,0<abseta<2.5)
      {
         central_value(0.999748,0.008036)
         sys(HerwigVsPythiaemu_2jets,0.004131)
         sys(HerwigVsPythia,0.004131)
         sys(ISRFSRemu_2jets,-0.008222)
         sys(ISRFSR,-0.008222)
         sys(Alpgenemu_2jets,-0.000355)
         sys(Alpgen,-0.000355)
         sys(ISRFSRWt,0.001235)
         sys(AlpgenZemu_2jets,-0.003565)
         sys(AlpgenZ,-0.003565)
         sys(HerwigVsAlpgenDibemu_2jets,0.006235)
         sys(HerwigVsAlpgenDib,0.006235)
         sys(JVF,0.000701)
         sys(MuScale,0.000340)
         sys(ElecEffic,0.000318)
         sys(MuonEffic,-0.000035)
         sys(ElecE,-0.000084)
         sys(ElecEResol,-0.000167)
         sys(MuonEResolMS,-0.000046)
         sys(MuonEResolID,0.000034)
         sys(METScaleSoftTerms,0.000002)
         sys(JetNPV,-0.000632)
         sys(JetNP1,-0.000392)
         sys(JetNP2,0.000713)
         sys(JetNP3,-0.000568)
         sys(JetNP4,0.000438)
         sys(JetNP5,-0.000223)
         sys(JetNP6_rest,-0.000010)
         sys(JetMu,-0.000160)
         sys(JetPilePt,0.000070)
         sys(JetPileRho,-0.001028)
         sys(JetFlavComp,0.001978)
         sys(JetFlavResp,0.001755)
         sys(JetEtaModel,0.000112)
         sys(JetEtaStat,-0.000136)
         sys(jet energy resolution,0.001394)
         sys(JetNonClos,-0.000832)
         sys(JetFlavB,-0.002164)
         sys(fakes,0.001974)
         sys(ZHF,0.000715)
         sys(stop,0.002157)
         sys(Z,0.004073)
         sys(Mistag,-0.001456)
      }

      bin(140<pt<200,0<abseta<2.5)
      {
         central_value(1.001507,0.017175)
         sys(HerwigVsPythiaemu_2jets,0.007456)
         sys(HerwigVsPythia,0.007456)
         sys(ISRFSRemu_2jets,-0.013286)
         sys(ISRFSR,-0.013286)
         sys(Alpgenemu_2jets,-0.001783)
         sys(Alpgen,-0.001783)
         sys(ISRFSRWt,-0.000413)
