Analysis(PDF_6bins_ll_3j,bottom,MV2c10,FlatBEff_77,AntiKt4EMTopoJets)
{
      meta_data_s (Hadronization, Pythia6EvtGen)

      bin(20<pt<30,0<abseta<2.5)
      {
         central_value(1.116548,0.017994)
         meta_data(N_jets tagged,4594.000000,67.779053)
         meta_data(N_jets total,21342.000000,146.089014)
         sys(FT_EFF_HerwigVsPythiall_3jets,8.146613%)
         sys(FT_EFF_HerwigVsPythia,8.146613%)
         sys(FT_EFF_MCAtNLOll_3jets,-5.317525%)
         sys(FT_EFF_MCAtNLO,-5.317525%)
         sys(FT_EFF_Variable Radiationll_3jets,-0.503948%)
         sys(FT_EFF_Variable Radiation,-0.503948%)
         sys(FT_EFF_ttbarPDFRWll_3jets,-0.524423%)
         sys(FT_EFF_ttbarPDFRW,-0.524423%)
         sys(FT_EFF_PowhegPythia8Zll_3jets,0.988168%)
         sys(FT_EFF_PowhegPythia8Z,0.988168%)
         sys(FT_EFF_ttbarNNLOll_3jets,-0.204486%)
         sys(FT_EFF_ttbarNNLO,-0.204486%)
         sys(FT_EFF_Single Top Variable Radiationll_3jets,0.088342%)
         sys(FT_EFF_Single Top Variable Radiation,0.088342%)
         sys(FT_EFF_Single Top HerwigVsPythiall_3jets,0.694921%)
         sys(FT_EFF_Single Top HerwigVsPythia,0.694921%)
         sys(FT_EFF_ZPTRWll_3jets,0.000759%)
         sys(FT_EFF_ZPTRW,0.000759%)
         sys(FT_EFF_JET_BJES_Response__1up,1.591386%)
         sys(FT_EFF_JET_EffectiveNP_1__1up,6.384166%)
         sys(FT_EFF_JET_EffectiveNP_2__1up,-1.312200%)
         sys(FT_EFF_JET_EffectiveNP_3__1up,0.343290%)
         sys(FT_EFF_JET_EffectiveNP_4__1up,-0.062560%)
         sys(FT_EFF_JET_EffectiveNP_5__1up,0.209249%)
         sys(FT_EFF_JET_EffectiveNP_6restTerm__1up,0.274726%)
         sys(FT_EFF_JET_EtaIntercalibration_Modelling__1up,2.194991%)
         sys(FT_EFF_JET_EtaIntercalibration_TotalStat__1up,1.127271%)
         sys(FT_EFF_JET_Flavor_Composition__1up,1.520177%)
         sys(FT_EFF_JET_Flavor_Response__1up,-0.318567%)
         sys(FT_EFF_JET_Pileup_OffsetMu__1up,0.898152%)
         sys(FT_EFF_JET_Pileup_OffsetNPV__1up,1.010349%)
         sys(FT_EFF_JET_Pileup_PtTerm__1up,-0.067013%)
         sys(FT_EFF_JET_Pileup_RhoTopology__1up,2.136023%)
         sys(FT_EFF_JET_PunchThrough_MC15__1up,0.030627%)
         sys(FT_EFF_JET_JER_SINGLE_NP__1up,-2.932287%)
         sys(FT_EFF_MUONS_SCALE__1up,-0.005088%)
         sys(FT_EFF_MUONS_ID__1up,-0.115228%)
         sys(FT_EFF_MUONS_MS__1up,0.053563%)
         sys(FT_EFF_EG_RESOLUTION_ALL__1up,0.256200%)
         sys(FT_EFF_EG_SCALE_ALL__1up,0.008670%)
         sys(FT_EFF_MUON_EFF_STAT__1up,0.006239%)
         sys(FT_EFF_MUON_EFF_SYS__1up,-0.016473%)
         sys(FT_EFF_MUON_ISO_STAT__1up,0.002606%)
         sys(FT_EFF_MUON_ISO_SYS__1up,0.010799%)
         sys(FT_EFF_MUON_EFF_TrigSystUncertainty_1up,-0.006157%)
         sys(FT_EFF_MUON_EFF_TrigStatUncertainty_1up,-0.005585%)
         sys(FT_EFF_PRW_DATASF_1up,0.746698%)
         sys(FT_EFF_fakes,0.465457%)
         sys(FT_EFF_stop,0.173725%)
         sys(FT_EFF_dib,1.154469%)
         sys(FT_EFF_Z,1.730682%)
         sys(FT_EFF_Mistag,-1.370158%)
         sys(FT_EFF_MistagC,-0.217351%)
      }

      bin(30<pt<60,0<abseta<2.5)
      {
         central_value(1.026299,0.007718)
         meta_data(N_jets tagged,11046.000000,105.099952)
         meta_data(N_jets total,26056.000000,161.418710)
         sys(FT_EFF_HerwigVsPythiall_3jets,1.218291%)
         sys(FT_EFF_HerwigVsPythia,1.218291%)
         sys(FT_EFF_MCAtNLOll_3jets,-0.505730%)
         sys(FT_EFF_MCAtNLO,-0.505730%)
         sys(FT_EFF_Variable Radiationll_3jets,-0.963793%)
         sys(FT_EFF_Variable Radiation,-0.963793%)
         sys(FT_EFF_ttbarPDFRWll_3jets,-0.318797%)
         sys(FT_EFF_ttbarPDFRW,-0.318797%)
         sys(FT_EFF_PowhegPythia8Zll_3jets,-0.084297%)
         sys(FT_EFF_PowhegPythia8Z,-0.084297%)
         sys(FT_EFF_ttbarNNLOll_3jets,-0.095785%)
         sys(FT_EFF_ttbarNNLO,-0.095785%)
         sys(FT_EFF_Single Top Variable Radiationll_3jets,-0.077326%)
         sys(FT_EFF_Single Top Variable Radiation,-0.077326%)
         sys(FT_EFF_Single Top HerwigVsPythiall_3jets,0.145777%)
         sys(FT_EFF_Single Top HerwigVsPythia,0.145777%)
         sys(FT_EFF_ZPTRWll_3jets,0.000519%)
         sys(FT_EFF_ZPTRW,0.000519%)
         sys(FT_EFF_JET_BJES_Response__1up,0.140805%)
         sys(FT_EFF_JET_EffectiveNP_1__1up,0.759725%)
         sys(FT_EFF_JET_EffectiveNP_2__1up,0.124284%)
         sys(FT_EFF_JET_EffectiveNP_3__1up,-0.012942%)
         sys(FT_EFF_JET_EffectiveNP_4__1up,0.081929%)
         sys(FT_EFF_JET_EffectiveNP_5__1up,0.019384%)
         sys(FT_EFF_JET_EffectiveNP_6restTerm__1up,0.055619%)
         sys(FT_EFF_JET_EtaIntercalibration_Modelling__1up,0.592509%)
         sys(FT_EFF_JET_EtaIntercalibration_TotalStat__1up,0.268137%)
         sys(FT_EFF_JET_Flavor_Composition__1up,1.590751%)
         sys(FT_EFF_JET_Flavor_Response__1up,-0.256837%)
         sys(FT_EFF_JET_Pileup_OffsetMu__1up,-0.026049%)
         sys(FT_EFF_JET_Pileup_OffsetNPV__1up,0.133344%)
         sys(FT_EFF_JET_Pileup_PtTerm__1up,-0.091445%)
         sys(FT_EFF_JET_Pileup_RhoTopology__1up,0.201339%)
         sys(FT_EFF_JET_PunchThrough_MC15__1up,0.030113%)
         sys(FT_EFF_JET_JER_SINGLE_NP__1up,1.473391%)
         sys(FT_EFF_MUONS_SCALE__1up,-0.060345%)
         sys(FT_EFF_MUONS_ID__1up,-0.024311%)
         sys(FT_EFF_MUONS_MS__1up,-0.075133%)
         sys(FT_EFF_EG_RESOLUTION_ALL__1up,0.041298%)
         sys(FT_EFF_EG_SCALE_ALL__1up,-0.001712%)
         sys(FT_EFF_MUON_EFF_STAT__1up,0.004379%)
         sys(FT_EFF_MUON_EFF_SYS__1up,0.029715%)
         sys(FT_EFF_MUON_ISO_STAT__1up,0.004307%)
         sys(FT_EFF_MUON_ISO_SYS__1up,0.010935%)
         sys(FT_EFF_MUON_EFF_TrigSystUncertainty_1up,-0.005276%)
         sys(FT_EFF_MUON_EFF_TrigStatUncertainty_1up,-0.005233%)
