Analysis(PDF_6bins_ll_3j,bottom,MV2cl100_MV2c100,CTag_Tight,AntiKt4EMTopoJets)
{
      meta_data_s (Hadronization, Pythia6EvtGen)
      meta_data_s (OperatingPoint,0.8244)

      bin(20<pt<30,0<abseta<2.5)
      {
         central_value(1.0,0.098156)
         meta_data(N_jets tagged,3641.000000,60.340699)
         meta_data(N_jets total,29034.000000,170.393662)
         sys(FT_EFF_HerwigVsPythiall_3jets,8.357336%)
         sys(FT_EFF_HerwigVsPythia,8.357336%)
         sys(FT_EFF_MCAtNLOll_3jets,20.396652%)
         sys(FT_EFF_MCAtNLO,20.396652%)
         sys(FT_EFF_Variable Radiationll_3jets,-1.298393%)
         sys(FT_EFF_Variable Radiation,-1.298393%)
         sys(FT_EFF_PowhegPythia8Zll_3jets,7.883323%)
         sys(FT_EFF_PowhegPythia8Z,7.883323%)
         sys(FT_EFF_TopPtReweighting_NNLOll_3jets,-2.041871%)
         sys(FT_EFF_TopPtReweighting_NNLO,-2.041871%)
         sys(FT_EFF_Single Top HerwigVsPythiall_3jets,0.320512%)
         sys(FT_EFF_Single Top HerwigVsPythia,0.320512%)
         sys(FT_EFF_Powheg_Dibosonll_3jets,-2.071633%)
         sys(FT_EFF_Powheg_Diboson,-2.071633%)
         sys(FT_EFF_ZPTRWll_3jets,-0.650422%)
         sys(FT_EFF_ZPTRW,-0.650422%)
         sys(FT_EFF_JET_RelativeNonClosure_MC15,-1.108258%)
         sys(FT_EFF_JET_BJES_Response,-1.909178%)
         sys(FT_EFF_JET_EffectiveNP_1,8.760486%)
         sys(FT_EFF_JET_EffectiveNP_2,-2.907435%)
         sys(FT_EFF_JET_EffectiveNP_3,-0.130021%)
         sys(FT_EFF_JET_EffectiveNP_4,-0.497939%)
         sys(FT_EFF_JET_EffectiveNP_5,0.879152%)
         sys(FT_EFF_JET_EffectiveNP_6restTerm,0.437569%)
         sys(FT_EFF_JET_EtaIntercalibration_Modelling,4.569278%)
         sys(FT_EFF_JET_EtaIntercalibration_TotalStat,3.064802%)
         sys(FT_EFF_JET_Flavor_Composition,0.895989%)
         sys(FT_EFF_JET_Flavor_Response,-3.012092%)
         sys(FT_EFF_JET_Pileup_OffsetMu,2.290651%)
         sys(FT_EFF_JET_Pileup_OffsetNPV,3.085506%)
         sys(FT_EFF_JET_Pileup_PtTerm,-0.116909%)
         sys(FT_EFF_JET_Pileup_RhoTopology,5.265899%)
         sys(FT_EFF_JET_PunchThrough_MC15,-0.617342%)
         sys(FT_EFF_JET_SingleParticle_HighPt,1.689461%)
         sys(FT_EFF_JET_JER_SINGLE_NP,6.174472%)
