Analysis(pTrel,bottom,JetFitterCOMBNN,-2.55,AntiKt4TopoLC)
{
	bin(20<pt<200,0.0<abseta<0.6)
	{
		central_value(0.9562,0.0364)
		sys(jet energy resolution,-0.7100%)
		sys(ptrel light template contamination,-0.2220%)
		sys(pileup mu reweighting,0.4371%)
		sys(jet energy scale,0.3649%)
		sys(b-fragmentation function,0.2646%)
		usys(simulation tagging efficiency,1.3816%)
		sys(muon pT spectrum,-0.2610%)
		sys(modelling of c-production,0.0695%)
		sys(modelling of b-production,0.1398%)
		sys(b-fragmentation fraction,0.1711%)
		sys(modelling of the b-hadron direction,0.5645%)
		usys(MC statistics,3.3031%)
		sys(semileptonic correction,-0.0066%)
		sys(fake muons in b-jets,0.0024%)
		sys(b-decay branching fractions,0.0190%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,0.7595%)
		sys(b-decay p* spectrum,-1.1964%)
	}
	bin(20<pt<200,0.6<abseta<1.2)
	{
		central_value(0.9532,0.0392)
		sys(jet energy resolution,0.3690%)
		sys(ptrel light template contamination,-0.5594%)
		sys(pileup mu reweighting,0.1386%)
		sys(jet energy scale,0.0480%)
		sys(b-fragmentation function,0.0243%)
		usys(simulation tagging efficiency,1.4660%)
		sys(muon pT spectrum,-0.4045%)
		sys(modelling of c-production,0.1866%)
		sys(modelling of b-production,0.0331%)
		sys(b-fragmentation fraction,-0.0965%)
		sys(modelling of the b-hadron direction,0.6038%)
		usys(MC statistics,3.5611%)
		sys(semileptonic correction,-0.0604%)
		sys(fake muons in b-jets,-0.0100%)
		sys(b-decay branching fractions,0.0127%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,1.4361%)
		sys(b-decay p* spectrum,-1.2135%)
	}
	bin(20<pt<200,1.2<abseta<1.8)
	{
		central_value(0.9620,0.0436)
		sys(jet energy resolution,-2.7850%)
		sys(ptrel light template contamination,-0.5875%)
		sys(pileup mu reweighting,0.5220%)
		sys(jet energy scale,0.5226%)
		sys(b-fragmentation function,0.4921%)
		usys(simulation tagging efficiency,1.4278%)
		sys(muon pT spectrum,-0.6323%)
		sys(modelling of c-production,0.5588%)
		sys(modelling of b-production,0.0922%)
		sys(b-fragmentation fraction,-0.1504%)
		sys(modelling of the b-hadron direction,-0.2147%)
		usys(MC statistics,6.3173%)
		sys(semileptonic correction,-0.2180%)
		sys(fake muons in b-jets,0.0137%)
		sys(b-decay branching fractions,0.0437%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,0.1714%)
		sys(b-decay p* spectrum,-1.0396%)
	}
	bin(20<pt<200,1.8<abseta<2.5)
	{
		central_value(0.8960,0.0434)
		sys(jet energy resolution,-0.7339%)
		sys(ptrel light template contamination,-0.7201%)
		sys(pileup mu reweighting,0.6577%)
		sys(jet energy scale,0.0222%)
		sys(b-fragmentation function,0.0179%)
		usys(simulation tagging efficiency,2.1711%)
		sys(muon pT spectrum,-0.8279%)
		sys(modelling of c-production,0.8717%)
		sys(modelling of b-production,0.0613%)
		sys(b-fragmentation fraction,0.3130%)
		sys(modelling of the b-hadron direction,-0.5367%)
		usys(MC statistics,5.3333%)
		sys(semileptonic correction,0.2073%)
		sys(fake muons in b-jets,-0.0358%)
		sys(b-decay branching fractions,0.2058%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,1.3509%)
		sys(b-decay p* spectrum,-0.7011%)
	}
	bin(20<pt<30,0<abseta<2.5)
	{
		central_value(0.9199,0.0330)
		sys(jet energy resolution,-0.1598%)
