
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.01701	 0.04683	 0.06424	 0.05542	 0.05848	 0.02097	 0.03608	 0.07826	 0.02614	 0.10088	 0.06424	 0.04912	 0.03077	
b-decay branching fractions		 0.00051	 0.00116	 0.00064	 0.00021	 0.00114	 0.00029	 0.00149	 0.00011	 0.00072	 0.00182	 0.00001	 0.00021	 0.00009	
b-decay p* spectrum			 -0.02513	 -0.01131	 0.00521	 -0.01257	 -0.01384	 -0.01824	 -0.02515	 -0.00512	 -0.00173	 -0.00859	 0.00555	 -0.00230	 -0.00800	
b-fragmentation fraction		 -0.00032	 0.00021	 -0.00349	 -0.00126	 -0.00599	 -0.00104	 -0.00654	 0.00246	 -0.00018	 0.00597	 -0.00234	 0.00168	 -0.00162	
b-fragmentation function		 0.00013	 0.00394	 0.00054	 0.00135	 0.00038	 0.00410	 0.00227	 0.00015	 0.00072	 0.00156	 0.00178	 0.00560	 0.00814	
charm-light ratio			 0.01272	 0.01968	 0.01127	 0.02189	 0.01838	 0.01223	 0.01141	 0.00845	 0.00621	 0.00677	 0.00623	 0.01403	 0.02380	
fake muons in b-jets			 -0.00016	 -0.00004	 0.00055	 -0.00262	 -0.00017	 -0.00036	 0.00002	 0.00057	 -0.00012	 -0.00106	 -0.00054	 -0.00076	 -0.00129	
jet energy resolution			 0.00353	 0.00008	 -0.00948	 0.00615	 0.00894	 -0.00123	 -0.00665	 0.00046	 0.00587	 0.00741	 -0.00227	 -0.02923	 0.00413	
jet energy scale			 0.00663	 0.00010	 0.00527	 0.01491	 0.00658	 0.00111	 0.00077	 0.00589	 0.00584	 0.00454	 0.00865	 0.00293	 0.00214	
modelling of b-production		 0.00038	 0.00007	 0.00108	 0.00021	 0.00035	 0.00004	 0.00066	 0.00022	 0.00051	 0.00030	 0.00064	 0.00388	 0.00513	
modelling of c-production		 0.00186	 0.00618	 0.00361	 0.01367	 0.00132	 0.00203	 0.01206	 0.01056	 0.01664	 0.02966	 0.03435	 0.08445	 0.10085	
modelling of the b-hadron direction	 0.00253	 -0.00110	 0.00272	 0.00537	 0.00336	 0.00208	 0.00282	 -0.00456	 0.00925	 0.01010	 0.00891	 0.00147	 0.02435	
muon pT spectrum			 -0.00344	 -0.00289	 -0.00163	 -0.00488	 -0.00246	 -0.00207	 -0.00062	 0.00017	 -0.00280	 -0.00507	 -0.00152	 -0.01613	 -0.01533	
pileup mu reweighting			 0.00742	 0.00486	 0.00564	 0.00092	 0.00334	 0.00443	 0.00058	 0.00304	 0.00373	 0.00343	 0.00646	 0.00029	 0.01419	
ptrel light template contamination	 -0.00180	 -0.00513	 -0.00573	 -0.00807	 -0.00573	 -0.00227	 -0.00508	 -0.00429	 -0.00645	 -0.00263	 -0.00184	 -0.00566	 -0.00039	
scale factor for inclusive b-jets	 0.03422	 0.03444	 0.03635	 0.03237	 0.03383	 0.03141	 0.03570	 0.03644	 0.03808	 0.03627	 0.03691	 0.04196	 0.04185	
semileptonic correction			 -0.00394	 0.00002	 -0.00005	 -0.00284	 -0.00093	 -0.00132	 -0.00109	 0.00046	 -0.00088	 -0.00040	 0.00087	 0.00397	 -0.00394	
simulation tagging efficiency		 0.00994	 0.01297	 0.00936	 0.01143	 0.01736	 0.00949	 0.00472	 0.00662	 0.00755	 0.01111	 0.01133	 0.00443	 0.00449	
