
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.07219	 0.06969	 0.14722	 0.08931	 0.11881	 0.01941	 0.01564	 0.04314	 0.03436	 0.04316	 0.03114	 0.07555	 0.02714	
b-decay branching fractions		 0.00112	 0.00010	 0.00455	 0.00724	 0.01078	 0.01301	 0.00359	 0.00074	 0.00297	 0.00049	 0.00089	 0.00870	 0.00158	
b-decay p* spectrum			 -0.03664	 -0.06566	 -0.02307	 -0.02070	 -0.05394	 -0.11718	 -0.05148	 -0.00798	 -0.01417	 -0.01183	 -0.00776	 -0.00111	 -0.01210	
b-fragmentation fraction		 0.00477	 0.00143	 -0.00956	 0.01658	 0.01915	 0.01477	 -0.01002	 0.00617	 0.00179	 -0.00514	 0.00396	 0.00285	 0.00205	
b-fragmentation function		 0.00807	 0.00084	 0.01276	 0.00556	 0.02302	 0.00348	 0.00877	 0.00139	 0.00538	 0.00024	 0.00262	 0.00381	 0.00330	
charm-light ratio			 0.02268	 0.02293	 0.01249	 0.03136	 0.02977	 0.02538	 0.01554	 0.01523	 0.00207	 0.00463	 0.00096	 0.02404	 0.03199	
fake muons in b-jets			 -0.00054	 -0.00057	 0.00236	 -0.00283	 -0.00196	 -0.00818	 0.00038	 -0.00087	 0.00060	 -0.00252	 0.00008	 -0.00163	 -0.00116	
jet energy resolution			 -0.03871	 0.00871	 -0.06604	 -0.01442	 -0.01789	 -0.13209	 -0.01266	 0.06824	 -0.02257	 -0.01595	 0.01008	 -0.00628	 -0.01230	
jet energy scale			 0.00852	 0.00137	 0.01354	 0.00560	 0.03901	 0.01881	 0.00796	 0.02190	 0.01335	 0.01067	 0.00296	 0.00523	 0.01206	
modelling of b-production		 0.00099	 0.00072	 0.00233	 0.00031	 0.00179	 0.00251	 0.00061	 0.00100	 0.00137	 0.00005	 0.00168	 0.00065	 0.00340	
modelling of c-production		 0.00327	 0.00314	 0.01345	 0.01697	 0.00130	 0.00302	 0.01714	 0.01738	 0.02970	 0.05234	 0.06566	 0.12285	 0.12946	
modelling of the b-hadron direction	 0.00293	 0.01049	 -0.00657	 -0.01234	 0.00063	 -0.00769	 0.01099	 0.00838	 0.00445	 0.01021	 0.00844	 0.01852	 0.01599	
muon pT spectrum			 -0.00834	 -0.01105	 -0.02758	 -0.02674	 -0.02177	 -0.05604	 -0.00486	 -0.00123	 -0.01005	 -0.00588	 -0.01171	 -0.01844	 -0.05873	
pileup mu reweighting			 0.00071	 0.00179	 0.01299	 0.01236	 0.00895	 0.00770	 0.00407	 0.01116	 0.00222	 0.01848	 0.00418	 0.00222	 0.01429	
ptrel light template contamination	 -0.00315	 -0.00929	 -0.01050	 -0.01197	 -0.01008	 -0.00552	 -0.00876	 -0.00474	 -0.01009	 -0.00310	 -0.00238	 -0.00315	 -0.00090	
scale factor for inclusive b-jets	 0.04087	 0.03979	 0.04642	 0.04076	 0.04040	 0.04314	 0.04263	 0.04091	 0.04223	 0.03964	 0.04005	 0.04224	 0.03914	
semileptonic correction			 -0.00164	 -0.00291	 -0.00497	 0.00885	 -0.01668	 -0.00684	 0.00250	 -0.00056	 -0.00619	 -0.00011	 -0.00448	 0.01513	 -0.00230	
simulation tagging efficiency		 0.01338	 0.01723	 0.01404	 0.02015	 0.02076	 0.00986	 0.00462	 0.00647	 0.00761	 0.01151	 0.01207	 0.00501	 0.00509	
