
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.07195	 0.06587	 0.11548	 0.08398	 0.09462	 0.01941	 0.05886	 0.06342	 0.04750	 0.05408	 0.04385	 0.08360	 0.03349	
b-decay branching fractions		 0.00061	 0.00020	 0.00183	 0.00393	 0.00056	 0.00150	 0.00182	 0.00027	 0.00187	 0.00032	 0.00057	 0.00582	 0.00183	
b-decay p* spectrum			 -0.02200	 -0.01591	 -0.01379	 -0.01137	 -0.02984	 -0.03476	 -0.02149	 -0.00400	 -0.00739	 -0.00595	 -0.00340	 0.00559	 -0.00734	
b-fragmentation fraction		 0.00257	 0.00019	 -0.00526	 0.01039	 -0.00219	 0.00526	 -0.00785	 0.00355	 0.00248	 -0.00515	 0.00250	 -0.00037	 0.00012	
b-fragmentation function		 0.00363	 0.00083	 0.00688	 0.00366	 0.00101	 0.00372	 0.00400	 0.00122	 0.00393	 0.00054	 0.00052	 0.00207	 0.00200	
charm-light ratio			 0.01458	 0.01707	 0.00538	 0.02225	 0.02107	 0.01798	 0.01392	 0.01306	 0.00029	 0.00372	 0.00211	 0.01391	 0.02464	
fake muons in b-jets			 0.00001	 -0.00030	 0.00046	 -0.00159	 -0.00041	 -0.00041	 -0.00001	 -0.00083	 0.00036	 -0.00182	 -0.00080	 -0.00049	 -0.00114	
jet energy resolution			 -0.00973	 0.00727	 -0.03979	 -0.01146	 0.00501	 -0.01959	 -0.01648	 0.04784	 -0.01741	 -0.01120	 0.00751	 -0.00594	 -0.01118	
jet energy scale			 0.00625	 0.00078	 0.00938	 0.00326	 0.01654	 0.00413	 0.00587	 0.01729	 0.00736	 0.00559	 0.00173	 0.00242	 0.00986	
modelling of b-production		 0.00134	 0.00042	 0.00109	 0.00146	 0.00102	 0.00064	 0.00022	 0.00015	 0.00107	 0.00071	 0.00236	 0.00371	 0.00211	
modelling of c-production		 0.00174	 0.00229	 0.00883	 0.01192	 0.00030	 0.00207	 0.01083	 0.01035	 0.02175	 0.03702	 0.04857	 0.09556	 0.10309	
modelling of the b-hadron direction	 0.00129	 0.00863	 -0.00835	 -0.00392	 -0.00354	 -0.00828	 0.00496	 0.00697	 0.00400	 0.00885	 0.00767	 0.01114	 0.00885	
muon pT spectrum			 -0.00501	 -0.00645	 -0.01256	 -0.01491	 -0.00380	 -0.00796	 -0.00289	 -0.00081	 -0.00662	 -0.00380	 -0.00712	 -0.01170	 -0.00195	
pileup mu reweighting			 0.00510	 0.00156	 0.00849	 0.00872	 0.00002	 0.00023	 0.00306	 0.00845	 0.00165	 0.01445	 0.00240	 0.00326	 0.01283	
ptrel light template contamination	 -0.00244	 -0.00683	 -0.00734	 -0.01037	 -0.00765	 -0.00394	 -0.00662	 -0.00374	 -0.00872	 -0.00266	 -0.00239	 -0.00296	 -0.00091	
scale factor for inclusive b-jets	 0.03624	 0.03568	 0.04080	 0.03774	 0.03772	 0.03805	 0.03662	 0.03657	 0.03840	 0.03528	 0.03624	 0.03816	 0.03646	
semileptonic correction			 -0.00050	 -0.00138	 -0.00244	 0.00282	 -0.00331	 -0.00476	 0.00190	 -0.00035	 -0.00448	 0.00041	 -0.00219	 0.01102	 -0.00199	
simulation tagging efficiency		 0.01439	 0.01549	 0.01352	 0.01817	 0.02020	 0.00934	 0.00449	 0.00623	 0.00736	 0.01104	 0.01157	 0.00484	 0.00500	
