
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.06059	 0.05928	 0.11786	 0.08138	 0.10529	 0.01495	 0.01809	 0.03724	 0.03085	 0.04195	 0.02924	 0.07443	 0.02512	
b-decay branching fractions		 0.00105	 0.00015	 0.00336	 0.00648	 0.00194	 0.00246	 0.00358	 0.00086	 0.00320	 0.00048	 0.00079	 0.00937	 0.00104	
b-decay p* spectrum			 -0.03726	 -0.05142	 -0.02017	 -0.01898	 -0.05844	 -0.08452	 -0.04071	 -0.00770	 -0.01570	 -0.01351	 -0.00860	 -0.00373	 -0.01257	
b-fragmentation fraction		 0.00437	 0.00196	 -0.00852	 0.01493	 -0.00496	 0.00495	 -0.01040	 0.00683	 0.00147	 -0.00593	 0.00388	 0.00318	 0.00384	
b-fragmentation function		 0.00755	 0.00102	 0.01080	 0.00458	 0.00663	 0.00443	 0.00912	 0.00164	 0.00589	 0.00080	 0.00035	 0.00496	 0.00405	
charm-light ratio			 0.02257	 0.02367	 0.00956	 0.02989	 0.03262	 0.02234	 0.01540	 0.01539	 0.00270	 0.00439	 0.00166	 0.02600	 0.03349	
fake muons in b-jets			 -0.00041	 -0.00068	 0.00152	 -0.00233	 -0.00085	 -0.00108	 0.00034	 -0.00084	 0.00067	 -0.00235	 -0.00033	 -0.00175	 -0.00088	
jet energy resolution			 -0.02500	 0.01053	 -0.05961	 -0.01736	 -0.01143	 -0.09992	 -0.01181	 0.07498	 -0.02394	 -0.01614	 0.01008	 -0.00539	 -0.01294	
jet energy scale			 0.00824	 0.00066	 0.01260	 0.00510	 0.03363	 0.01929	 0.00870	 0.02359	 0.01450	 0.01102	 0.00259	 0.00595	 0.01120	
modelling of b-production		 0.00116	 0.00070	 0.00190	 0.00087	 0.00182	 0.00055	 0.00036	 0.00115	 0.00154	 0.00043	 0.00133	 0.00015	 0.00196	
modelling of c-production		 0.00319	 0.00310	 0.01222	 0.01665	 0.00012	 0.00236	 0.01670	 0.01930	 0.03139	 0.05511	 0.06609	 0.12866	 0.13237	
modelling of the b-hadron direction	 0.00055	 0.01192	 -0.00902	 -0.01024	 -0.01365	 -0.01191	 0.01138	 0.00836	 0.00377	 0.00983	 0.00836	 0.02153	 0.01903	
muon pT spectrum			 -0.00810	 -0.01098	 -0.02192	 -0.02390	 -0.01647	 -0.02097	 -0.00491	 -0.00131	 -0.01064	 -0.00661	 -0.01144	 -0.01936	 -0.05382	
pileup mu reweighting			 0.00145	 0.00241	 0.01183	 0.01296	 0.00693	 0.00094	 0.00368	 0.01179	 0.00227	 0.01923	 0.00452	 0.00214	 0.01451	
ptrel light template contamination	 -0.00317	 -0.00930	 -0.00985	 -0.01259	 -0.01081	 -0.00518	 -0.00921	 -0.00508	 -0.01078	 -0.00323	 -0.00254	 -0.00307	 -0.00090	
scale factor for inclusive b-jets	 0.04204	 0.04099	 0.04577	 0.04391	 0.04367	 0.04301	 0.04298	 0.04343	 0.04451	 0.04135	 0.04121	 0.04425	 0.04024	
semileptonic correction			 -0.00151	 -0.00271	 -0.00425	 0.00632	 -0.01049	 -0.00723	 0.00235	 0.00004	 -0.00727	 -0.00020	 -0.00446	 0.01706	 -0.00132	
simulation tagging efficiency		 0.01505	 0.01563	 0.01276	 0.01873	 0.02030	 0.00895	 0.00441	 0.00622	 0.00735	 0.01115	 0.01161	 0.00487	 0.00496	
