
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.03300	 0.03970	 0.08539	 0.07090	 0.06112	 0.01225	 0.03461	 0.03233	 0.03652	 0.03187	 0.03428	 0.05215	 0.03852	
b-decay branching fractions		 0.00034	 0.00039	 0.00101	 0.00311	 0.00029	 0.00071	 0.00183	 0.00020	 0.00167	 0.00023	 0.00042	 0.00640	 0.00141	
b-decay p* spectrum			 -0.01517	 -0.01305	 -0.01155	 -0.00954	 -0.01460	 -0.02959	 -0.02006	 -0.00369	 -0.00678	 -0.00636	 -0.00420	 0.00172	 -0.00817	
b-fragmentation fraction		 0.00210	 -0.00015	 -0.00273	 0.00788	 -0.00168	 0.00538	 -0.00805	 0.00336	 0.00261	 -0.00461	 0.00202	 0.00103	 0.00264	
b-fragmentation function		 0.00257	 0.00045	 0.00558	 0.00232	 0.00037	 0.00224	 0.00394	 0.00059	 0.00438	 0.00058	 0.00083	 0.00378	 0.00438	
charm-light ratio			 0.01264	 0.01553	 0.00419	 0.01937	 0.01607	 0.01822	 0.01434	 0.01255	 0.00019	 0.00413	 0.00246	 0.01533	 0.02526	
fake muons in b-jets			 0.00007	 -0.00034	 0.00051	 -0.00101	 -0.00015	 -0.00008	 -0.00022	 -0.00087	 0.00024	 -0.00134	 -0.00091	 -0.00054	 -0.00073	
jet energy resolution			 -0.00628	 0.00600	 -0.03526	 -0.00996	 0.01027	 -0.01878	 -0.01696	 0.04658	 -0.01913	 -0.00958	 0.00906	 -0.00506	 -0.01077	
jet energy scale			 0.00403	 0.00036	 0.00603	 0.00175	 0.00789	 0.00014	 0.00515	 0.01644	 0.00634	 0.00530	 0.00200	 0.00106	 0.01104	
modelling of b-production		 0.00152	 0.00028	 0.00079	 0.00172	 0.00051	 0.00067	 0.00023	 0.00014	 0.00122	 0.00046	 0.00161	 0.00007	 0.00044	
modelling of c-production		 0.00157	 0.00201	 0.00819	 0.01100	 0.00045	 0.00222	 0.01035	 0.01165	 0.02226	 0.03732	 0.04512	 0.09637	 0.11048	
modelling of the b-hadron direction	 0.00140	 0.00655	 -0.00821	 -0.00228	 -0.00116	 -0.00663	 0.00644	 0.00659	 0.00330	 0.00761	 0.00483	 0.01315	 0.01275	
muon pT spectrum			 -0.00329	 -0.00589	 -0.01024	 -0.01200	 -0.00120	 -0.00706	 -0.00288	 -0.00072	 -0.00688	 -0.00381	 -0.00691	 -0.01231	 -0.00140	
pileup mu reweighting			 0.00384	 0.00227	 0.00777	 0.00910	 0.00234	 0.00050	 0.00279	 0.00805	 0.00193	 0.01449	 0.00295	 0.00228	 0.01365	
ptrel light template contamination	 -0.00214	 -0.00579	 -0.00692	 -0.01032	 -0.00599	 -0.00377	 -0.00741	 -0.00411	 -0.00940	 -0.00239	 -0.00222	 -0.00253	 -0.00102	
scale factor for inclusive b-jets	 0.03790	 0.03807	 0.04095	 0.03895	 0.03741	 0.03994	 0.03860	 0.03951	 0.04183	 0.03831	 0.03820	 0.04111	 0.04031	
semileptonic correction			 -0.00002	 -0.00077	 -0.00195	 0.00201	 -0.00199	 -0.00316	 0.00192	 -0.00049	 -0.00474	 0.00049	 -0.00274	 0.01229	 -0.00152	
simulation tagging efficiency		 0.01324	 0.01446	 0.01200	 0.01900	 0.01800	 0.00837	 0.00422	 0.00591	 0.00698	 0.01052	 0.01096	 0.00462	 0.00480	
