
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.02634	 0.04641	 0.06767	 0.04147	 0.05271	 0.00545	 0.00575	 0.01757	 0.03154	 0.03419	 0.02274	 0.02047	 0.01657	
b-decay branching fractions		 0.00027	 0.00019	 0.00053	 0.00158	 0.00021	 0.00041	 0.00134	 0.00003	 0.00115	 0.00008	 0.00040	 0.00575	 0.00148	
b-decay p* spectrum			 -0.01130	 -0.00912	 -0.00697	 -0.00516	 -0.00839	 -0.01843	 -0.01433	 -0.00205	 -0.00417	 -0.00486	 -0.00429	 0.00075	 -0.00646	
b-fragmentation fraction		 0.00148	 -0.00019	 -0.00205	 0.00399	 -0.00150	 0.00450	 -0.00581	 0.00228	 0.00213	 -0.00470	 0.00098	 0.00006	 0.00198	
b-fragmentation function		 0.00161	 0.00000	 0.00330	 0.00079	 0.00004	 0.00294	 0.00231	 0.00058	 0.00318	 0.00024	 0.00093	 0.00491	 0.00338	
charm-light ratio			 0.00995	 0.01143	 0.00274	 0.01242	 0.01126	 0.01340	 0.01203	 0.01050	 0.00060	 0.00430	 0.00223	 0.01423	 0.02199	
fake muons in b-jets			 0.00004	 -0.00014	 0.00013	 -0.00049	 -0.00016	 0.00012	 -0.00023	 -0.00071	 0.00013	 -0.00131	 -0.00114	 -0.00063	 -0.00151	
jet energy resolution			 -0.00452	 0.00386	 -0.02481	 -0.00509	 0.00406	 -0.00840	 -0.01534	 0.03601	 -0.01425	 -0.00667	 0.00606	 -0.00354	 -0.00892	
jet energy scale			 0.00189	 0.00086	 0.00447	 0.00089	 0.00458	 0.00107	 0.00434	 0.01350	 0.00419	 0.00229	 0.00281	 0.00047	 0.01046	
modelling of b-production		 0.00097	 0.00014	 0.00070	 0.00058	 0.00032	 0.00022	 0.00023	 0.00001	 0.00097	 0.00001	 0.00089	 0.00068	 0.00011	
modelling of c-production		 0.00125	 0.00154	 0.00527	 0.00720	 0.00008	 0.00165	 0.00874	 0.00926	 0.01695	 0.03084	 0.03843	 0.08531	 0.10133	
modelling of the b-hadron direction	 0.00098	 0.00470	 -0.00572	 -0.00258	 0.00051	 -0.00458	 0.00506	 0.00538	 0.00273	 0.00629	 0.00463	 0.01370	 0.01505	
muon pT spectrum			 -0.00263	 -0.00415	 -0.00571	 -0.00651	 -0.00127	 -0.00471	 -0.00227	 -0.00055	 -0.00496	 -0.00353	 -0.00573	 -0.01142	 -0.00009	
pileup mu reweighting			 0.00303	 0.00135	 0.00463	 0.00485	 0.00015	 0.00066	 0.00263	 0.00637	 0.00156	 0.01312	 0.00244	 0.00204	 0.01366	
ptrel light template contamination	 -0.00178	 -0.00453	 -0.00528	 -0.00644	 -0.00440	 -0.00269	 -0.00685	 -0.00346	 -0.00711	 -0.00244	 -0.00191	 -0.00240	 -0.00115	
scale factor for inclusive b-jets	 0.03955	 0.03902	 0.03976	 0.03801	 0.03886	 0.03952	 0.03994	 0.03914	 0.04083	 0.03889	 0.03964	 0.04230	 0.04230	
semileptonic correction			 -0.00017	 -0.00059	 -0.00103	 0.00100	 -0.00133	 -0.00204	 0.00106	 -0.00022	 -0.00363	 0.00016	 -0.00268	 0.01168	 -0.00089	
simulation tagging efficiency		 0.01292	 0.01416	 0.01384	 0.01978	 0.01783	 0.00866	 0.00409	 0.00568	 0.00668	 0.01024	 0.01062	 0.00456	 0.00466	
