
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.02342	 0.03832	 0.04604	 0.02503	 0.03164	 0.01414	 0.03209	 0.03434	 0.03112	 0.04502	 0.07958	 0.05610	 0.04014	
b-decay branching fractions		 0.00076	 0.00182	 0.00081	 0.00057	 0.00077	 0.00065	 0.00226	 0.00013	 0.00080	 0.00223	 0.00010	 0.00064	 0.00063	
b-decay p* spectrum			 -0.03135	 -0.01349	 0.00532	 -0.01591	 -0.01818	 -0.02123	 -0.03233	 -0.00803	 -0.00165	 -0.01165	 0.00603	 -0.00065	 -0.00514	
b-fragmentation fraction		 -0.00127	 -0.00100	 -0.00359	 0.00035	 -0.00749	 -0.00207	 -0.00814	 0.00280	 -0.00025	 0.00672	 -0.00327	 0.00104	 -0.00111	
b-fragmentation function		 0.00066	 0.00255	 0.00030	 0.00241	 0.00064	 0.00374	 0.00426	 0.00068	 0.00156	 0.00258	 0.00231	 0.01076	 0.00790	
charm-light ratio			 0.01629	 0.02485	 0.01321	 0.02768	 0.02109	 0.01826	 0.01505	 0.01028	 0.00715	 0.00757	 0.00793	 0.01277	 0.02196	
fake muons in b-jets			 -0.00021	 0.00000	 0.00117	 -0.00278	 -0.00001	 0.00000	 0.00000	 0.00106	 -0.00003	 -0.00131	 -0.00070	 -0.00007	 -0.00082	
jet energy resolution			 0.00391	 -0.00077	 -0.01169	 0.00112	 0.00568	 -0.00259	 -0.00496	 0.00121	 0.00309	 0.00751	 0.00021	 -0.02392	 0.00266	
jet energy scale			 0.01356	 0.00236	 0.00639	 0.01947	 0.00050	 0.00010	 0.00508	 0.00686	 0.00674	 0.00406	 0.00919	 0.00635	 0.00279	
modelling of b-production		 0.00059	 0.00010	 0.00112	 0.00041	 0.00048	 0.00035	 0.00080	 0.00064	 0.00064	 0.00051	 0.00101	 0.00919	 0.00443	
modelling of c-production		 0.00244	 0.00765	 0.00438	 0.01772	 0.00163	 0.00311	 0.01622	 0.01401	 0.02040	 0.03479	 0.04034	 0.08775	 0.09814	
modelling of the b-hadron direction	 0.00190	 -0.00069	 0.00379	 0.00020	 0.00233	 0.00114	 0.00311	 -0.00806	 0.00902	 0.01232	 0.01274	 0.00138	 0.02738	
muon pT spectrum			 -0.00416	 -0.00334	 -0.00183	 -0.00768	 -0.00302	 -0.00269	 -0.00104	 0.00026	 -0.00346	 -0.00592	 -0.00229	 -0.01337	 -0.01635	
pileup mu reweighting			 0.00858	 0.00720	 0.00709	 0.00379	 0.00442	 0.00713	 0.00254	 0.00401	 0.00463	 0.00426	 0.00771	 0.00116	 0.01541	
ptrel light template contamination	 -0.00219	 -0.00623	 -0.00622	 -0.01065	 -0.00653	 -0.00323	 -0.00645	 -0.00537	 -0.00702	 -0.00283	 -0.00198	 -0.00680	 -0.00032	
scale factor for inclusive b-jets	 0.03726	 0.03725	 0.03942	 0.03853	 0.03575	 0.03781	 0.03892	 0.04089	 0.03911	 0.03823	 0.03838	 0.04042	 0.03953	
semileptonic correction			 -0.00525	 0.00035	 -0.00033	 -0.00279	 -0.00424	 -0.00207	 -0.00034	 -0.00086	 -0.00095	 0.00032	 0.00070	 0.00265	 -0.00362	
simulation tagging efficiency		 0.01052	 0.01355	 0.00840	 0.01632	 0.01757	 0.00889	 0.00428	 0.00621	 0.00695	 0.01054	 0.01078	 0.00447	 0.00432	
