
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.02676	 0.03216	 0.06847	 0.04240	 0.04738	 0.00589	 0.00759	 0.02075	 0.02608	 0.04052	 0.02576	 0.03127	 0.03112	
b-decay branching fractions		 0.00025	 0.00024	 0.00068	 0.00187	 0.00022	 0.00052	 0.00159	 0.00008	 0.00140	 0.00020	 0.00048	 0.00626	 0.00168	
b-decay p* spectrum			 -0.01081	 -0.01003	 -0.00847	 -0.00548	 -0.00951	 -0.02388	 -0.01702	 -0.00331	 -0.00454	 -0.00565	 -0.00258	 0.00234	 -0.00606	
b-fragmentation fraction		 0.00180	 -0.00007	 -0.00193	 0.00482	 -0.00135	 0.00509	 -0.00743	 0.00278	 0.00372	 -0.00488	 0.00232	 0.00059	 0.00240	
b-fragmentation function		 0.00135	 0.00031	 0.00381	 0.00104	 0.00035	 0.00239	 0.00295	 0.00051	 0.00398	 0.00057	 0.00146	 0.00510	 0.00355	
charm-light ratio			 0.01045	 0.01278	 0.00321	 0.01369	 0.01190	 0.01549	 0.01385	 0.01166	 0.00031	 0.00463	 0.00307	 0.01452	 0.02454	
fake muons in b-jets			 0.00010	 -0.00019	 0.00027	 -0.00055	 -0.00016	 0.00002	 -0.00025	 -0.00078	 0.00016	 -0.00141	 -0.00147	 -0.00074	 -0.00122	
jet energy resolution			 -0.00566	 0.00438	 -0.02748	 -0.00473	 0.00474	 -0.01206	 -0.01731	 0.03922	 -0.01714	 -0.00763	 0.00682	 -0.00291	 -0.01103	
jet energy scale			 0.00217	 0.00047	 0.00460	 0.00137	 0.00563	 0.00015	 0.00482	 0.01456	 0.00490	 0.00374	 0.00283	 0.00157	 0.01078	
modelling of b-production		 0.00120	 0.00017	 0.00075	 0.00084	 0.00033	 0.00051	 0.00026	 0.00002	 0.00112	 0.00035	 0.00155	 0.00087	 0.00156	
modelling of c-production		 0.00126	 0.00175	 0.00622	 0.00779	 0.00008	 0.00190	 0.00968	 0.01088	 0.01986	 0.03525	 0.04422	 0.09387	 0.11300	
modelling of the b-hadron direction	 0.00224	 0.00519	 -0.00611	 -0.00227	 -0.00010	 -0.00436	 0.00544	 0.00639	 0.00333	 0.00675	 0.00673	 0.01838	 0.01393	
muon pT spectrum			 -0.00274	 -0.00461	 -0.00709	 -0.00752	 -0.00137	 -0.00558	 -0.00269	 -0.00062	 -0.00598	 -0.00385	 -0.00613	 -0.01255	 0.00030	
pileup mu reweighting			 0.00435	 0.00182	 0.00523	 0.00536	 0.00059	 0.00045	 0.00284	 0.00733	 0.00169	 0.01476	 0.00232	 0.00299	 0.01423	
ptrel light template contamination	 -0.00198	 -0.00493	 -0.00577	 -0.00692	 -0.00470	 -0.00297	 -0.00725	 -0.00383	 -0.00779	 -0.00251	 -0.00202	 -0.00259	 -0.00102	
scale factor for inclusive b-jets	 0.03853	 0.03832	 0.03962	 0.03759	 0.03770	 0.03928	 0.03970	 0.03905	 0.04131	 0.03921	 0.03935	 0.04201	 0.04171	
semileptonic correction			 0.00009	 -0.00060	 -0.00134	 0.00154	 -0.00135	 -0.00231	 0.00147	 -0.00075	 -0.00422	 0.00055	 -0.00262	 0.01222	 -0.00128	
simulation tagging efficiency		 0.01329	 0.01420	 0.01415	 0.02011	 0.01820	 0.00884	 0.00413	 0.00575	 0.00678	 0.01036	 0.01076	 0.00459	 0.00473	
