
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.02305	 0.04385	 0.04851	 0.03280	 0.03008	 0.01363	 0.03740	 0.05286	 0.03698	 0.04275	 0.08047	 0.05801	 0.04016	
b-decay branching fractions		 0.00079	 0.00167	 0.00077	 0.00037	 0.00102	 0.00045	 0.00206	 0.00010	 0.00081	 0.00208	 0.00010	 0.00053	 0.00031	
b-decay p* spectrum			 -0.03284	 -0.01382	 0.00548	 -0.01678	 -0.01728	 -0.02273	 -0.03056	 -0.00626	 -0.00073	 -0.01039	 0.00681	 -0.00110	 -0.00403	
b-fragmentation fraction		 -0.00144	 -0.00098	 -0.00353	 -0.00070	 -0.00828	 -0.00112	 -0.00789	 0.00298	 -0.00003	 0.00667	 -0.00325	 0.00143	 -0.00130	
b-fragmentation function		 0.00040	 0.00315	 0.00050	 0.00170	 0.00126	 0.00319	 0.00377	 0.00018	 0.00129	 0.00228	 0.00200	 0.00949	 0.00761	
charm-light ratio			 0.01649	 0.02385	 0.01284	 0.02699	 0.02133	 0.01711	 0.01417	 0.00928	 0.00682	 0.00688	 0.00737	 0.01252	 0.02038	
fake muons in b-jets			 -0.00015	 0.00001	 0.00110	 -0.00263	 0.00001	 0.00006	 -0.00003	 0.00075	 -0.00006	 -0.00116	 -0.00056	 -0.00041	 -0.00121	
jet energy resolution			 0.00380	 -0.00012	 -0.01381	 -0.00049	 0.00533	 -0.00141	 -0.00594	 0.00044	 0.00448	 0.00753	 -0.00037	 -0.02294	 0.00191	
jet energy scale			 0.01259	 0.00173	 0.00530	 0.01767	 0.00235	 0.00179	 0.00400	 0.00620	 0.00628	 0.00355	 0.00879	 0.00647	 0.00285	
modelling of b-production		 0.00061	 0.00008	 0.00112	 0.00052	 0.00077	 0.00007	 0.00070	 0.00048	 0.00042	 0.00040	 0.00096	 0.00809	 0.00331	
modelling of c-production		 0.00245	 0.00759	 0.00430	 0.01672	 0.00156	 0.00287	 0.01554	 0.01253	 0.01892	 0.03224	 0.03933	 0.08475	 0.09517	
modelling of the b-hadron direction	 0.00225	 -0.00133	 0.00323	 0.00170	 0.00238	 0.00177	 0.00281	 -0.00660	 0.00826	 0.01114	 0.01141	 0.00275	 0.02496	
muon pT spectrum			 -0.00449	 -0.00343	 -0.00169	 -0.00743	 -0.00330	 -0.00285	 -0.00092	 0.00030	 -0.00333	 -0.00552	 -0.00212	 -0.01385	 -0.01488	
pileup mu reweighting			 0.00987	 0.00631	 0.00614	 0.00368	 0.00458	 0.00644	 0.00184	 0.00353	 0.00406	 0.00384	 0.00720	 0.00161	 0.01550	
ptrel light template contamination	 -0.00218	 -0.00622	 -0.00636	 -0.01014	 -0.00676	 -0.00318	 -0.00628	 -0.00491	 -0.00690	 -0.00247	 -0.00179	 -0.00675	 -0.00032	
scale factor for inclusive b-jets	 0.03698	 0.03630	 0.03723	 0.03659	 0.03362	 0.03669	 0.03894	 0.03862	 0.03838	 0.03698	 0.03819	 0.04029	 0.03908	
semileptonic correction			 -0.00555	 0.00041	 -0.00010	 -0.00349	 -0.00402	 -0.00251	 -0.00037	 -0.00021	 -0.00102	 0.00033	 0.00052	 0.00327	 -0.00381	
simulation tagging efficiency		 0.01086	 0.01364	 0.00856	 0.01290	 0.01784	 0.00826	 0.00440	 0.00624	 0.00705	 0.01056	 0.01078	 0.00446	 0.00431	
