Analysis(pTrel,bottom,SV0,5.70,AntiKt4TopoEM)
{
	bin(20<pt<200,0.0<abseta<0.6)
	{
		central_value(0.8160,0.0262)
		sys(jet energy resolution,0.7911%)
		sys(ptrel light template contamination,-0.2411%)
		sys(pileup mu reweighting,0.9585%)
		sys(jet energy scale,0.9637%)
		sys(b-fragmentation function,0.0813%)
		usys(simulation tagging efficiency,0.9696%)
		sys(muon pT spectrum,-0.4379%)
		sys(modelling of c-production,0.2466%)
		sys(modelling of b-production,0.0510%)
		sys(b-fragmentation fraction,-0.1317%)
		sys(modelling of the b-hadron direction,0.3779%)
		usys(MC statistics,6.2009%)
		sys(semileptonic correction,-0.5396%)
		sys(fake muons in b-jets,-0.0149%)
		sys(b-decay branching fractions,0.0863%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,1.6077%)
		sys(b-decay p* spectrum,-3.2651%)
	}
	bin(20<pt<200,0.6<abseta<1.2)
	{
		central_value(0.8131,0.0293)
		sys(jet energy resolution,0.4454%)
		sys(ptrel light template contamination,-0.6195%)
		sys(pileup mu reweighting,0.6710%)
		sys(jet energy scale,0.1637%)
		sys(b-fragmentation function,0.5956%)
		usys(simulation tagging efficiency,1.7644%)
		sys(muon pT spectrum,-0.4325%)
		sys(modelling of c-production,0.8022%)
		sys(modelling of b-production,0.0099%)
		sys(b-fragmentation fraction,-0.0565%)
		sys(modelling of the b-hadron direction,-0.2565%)
		usys(MC statistics,7.5910%)
		sys(semileptonic correction,0.0025%)
		sys(fake muons in b-jets,0.0243%)
		sys(b-decay branching fractions,0.2137%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,2.5634%)
		sys(b-decay p* spectrum,-1.5432%)
	}
	bin(20<pt<200,1.2<abseta<1.8)
	{
		central_value(0.8629,0.0337)
		sys(jet energy resolution,-1.4248%)
		sys(ptrel light template contamination,-0.6766%)
		sys(pileup mu reweighting,0.9676%)
		sys(jet energy scale,0.8548%)
		sys(b-fragmentation function,0.0041%)
		usys(simulation tagging efficiency,1.1340%)
		sys(muon pT spectrum,-0.1605%)
		sys(modelling of c-production,0.4333%)
		sys(modelling of b-production,0.1816%)
		sys(b-fragmentation fraction,-0.4877%)
		sys(modelling of the b-hadron direction,0.3124%)
		usys(MC statistics,10.1001%)
		sys(semileptonic correction,0.0039%)
		sys(fake muons in b-jets,0.1760%)
		sys(b-decay branching fractions,0.1175%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,1.4412%)
		sys(b-decay p* spectrum,0.7884%)
	}
	bin(20<pt<200,1.8<abseta<2.5)
	{
		central_value(0.7387,0.0369)
		sys(jet energy resolution,0.1742%)
		sys(ptrel light template contamination,-1.0406%)
		sys(pileup mu reweighting,0.1636%)
		sys(jet energy scale,2.0555%)
		sys(b-fragmentation function,0.1723%)
		usys(simulation tagging efficiency,1.5245%)
		sys(muon pT spectrum,-0.6936%)
		sys(modelling of c-production,1.8379%)
		sys(modelling of b-production,0.1612%)
		sys(b-fragmentation fraction,-0.1831%)
		sys(modelling of the b-hadron direction,0.4562%)
		usys(MC statistics,9.0993%)
		sys(semileptonic correction,-0.4808%)
		sys(fake muons in b-jets,-0.2925%)
		sys(b-decay branching fractions,0.0041%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,3.0273%)
		sys(b-decay p* spectrum,-1.8776%)
	}
	bin(20<pt<30,0<abseta<2.5)
	{
		central_value(0.7648,0.0295)
		sys(jet energy resolution,2.0632%)
		sys(ptrel light template contamination,-0.8106%)
		sys(pileup mu reweighting,0.6298%)
		sys(jet energy scale,1.1379%)
		sys(b-fragmentation function,0.1456%)
		usys(simulation tagging efficiency,2.3508%)
		sys(muon pT spectrum,-0.3546%)
		sys(modelling of c-production,0.1663%)
		sys(modelling of b-production,0.0497%)
		sys(b-fragmentation fraction,-0.9143%)
		sys(modelling of the b-hadron direction,0.5922%)
		usys(MC statistics,15.7296%)
		sys(semileptonic correction,-0.3801%)
		sys(fake muons in b-jets,-0.0085%)
		sys(b-decay branching fractions,0.1189%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,2.3532%)
		sys(b-decay p* spectrum,-2.1575%)
	}
	bin(30<pt<40,0<abseta<2.5)
	{
		central_value(0.7368,0.0239)
		sys(jet energy resolution,-0.2503%)
		sys(ptrel light template contamination,-0.3231%)
		sys(pileup mu reweighting,0.7786%)
		sys(jet energy scale,0.3992%)
		sys(b-fragmentation function,0.3907%)
		usys(simulation tagging efficiency,1.1930%)
		sys(muon pT spectrum,-0.3417%)
		sys(modelling of c-production,0.3212%)
		sys(modelling of b-production,0.0384%)
		sys(b-fragmentation fraction,-0.2127%)
		sys(modelling of the b-hadron direction,0.2089%)
		usys(MC statistics,4.9281%)
		sys(semileptonic correction,-0.2156%)
		sys(fake muons in b-jets,-0.0022%)
		sys(b-decay branching fractions,0.0754%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,1.7892%)
		sys(b-decay p* spectrum,-2.5429%)
	}
	bin(40<pt<50,0<abseta<2.5)
	{
		central_value(0.8611,0.0220)
		sys(jet energy resolution,-0.8286%)
		sys(ptrel light template contamination,-0.6464%)
		sys(pileup mu reweighting,0.0519%)
		sys(jet energy scale,0.0102%)
		sys(b-fragmentation function,0.2789%)
		usys(simulation tagging efficiency,0.5799%)
		sys(muon pT spectrum,-0.0825%)
		sys(modelling of c-production,1.5020%)
		sys(modelling of b-production,0.0870%)
		sys(b-fragmentation fraction,-0.8692%)
		sys(modelling of the b-hadron direction,0.4157%)
		usys(MC statistics,7.5767%)
		sys(semileptonic correction,-0.1676%)
		sys(fake muons in b-jets,0.0081%)
		sys(b-decay branching fractions,0.1971%)
		sys(scale factor for inclusive b-jets,4.0000%)
		sys(charm-light ratio,1.4407%)
		sys(b-decay p* spectrum,-3.2835%)
	}
	bin(50<pt<60,0<abseta<2.5)
	{
