
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.02191	 0.04862	 0.05716	 0.03474	 0.05058	 0.01358	 0.00931	 0.02331	 0.03217	 0.03422	 0.09042	 0.04245	 0.02448	
b-decay branching fractions		 0.01111	 0.00389	 0.00158	 0.00316	 0.00265	 0.01468	 0.00388	 0.00073	 0.00175	 0.00337	 0.00028	 0.00009	 0.00173	
b-decay p* spectrum			 -0.09498	 -0.07083	 0.00661	 -0.02402	 -0.03184	 -0.03127	 -0.04725	 -0.01768	 -0.00602	 -0.01891	 0.00282	 -0.04069	 -0.01001	
b-fragmentation fraction		 0.00733	 -0.00010	 -0.00548	 0.00551	 -0.01511	 0.01284	 -0.01069	 0.00474	 -0.00038	 0.00947	 -0.00426	 0.00204	 -0.00172	
b-fragmentation function		 0.01246	 0.00478	 0.00193	 0.00536	 0.00322	 0.01033	 0.00753	 0.00128	 0.00240	 0.00329	 0.00306	 0.01170	 0.01117	
charm-light ratio			 0.02746	 0.03695	 0.01626	 0.03953	 0.03266	 0.02213	 0.01982	 0.01013	 0.00795	 0.00845	 0.00751	 0.02087	 0.02830	
fake muons in b-jets			 -0.00643	 0.00019	 0.00281	 -0.00580	 0.00020	 -0.00669	 0.00021	 0.00150	 -0.00011	 -0.00184	 -0.00008	 -0.00131	 -0.00126	
jet energy resolution			 0.02096	 0.00157	 -0.01724	 0.02049	 0.03031	 0.00306	 -0.00248	 -0.00010	 0.00850	 0.01094	 0.00375	 -0.03425	 0.00310	
jet energy scale			 0.02214	 0.00103	 0.01808	 0.03683	 0.01850	 0.00859	 0.01228	 0.00573	 0.01463	 0.00285	 0.01170	 0.00396	 0.00175	
modelling of b-production		 0.00743	 0.00026	 0.00187	 0.00132	 0.00166	 0.00145	 0.00059	 0.00177	 0.00045	 0.00068	 0.00075	 0.00900	 0.00759	
modelling of c-production		 0.00486	 0.01122	 0.00602	 0.02383	 0.00251	 0.00342	 0.02320	 0.01993	 0.02920	 0.04519	 0.05509	 0.11380	 0.11591	
modelling of the b-hadron direction	 0.00382	 -0.00288	 0.00206	 0.01101	 0.00528	 0.00680	 0.00447	 -0.01272	 0.01377	 0.01709	 0.01655	 0.00371	 0.03448	
muon pT spectrum			 -0.02852	 -0.00745	 -0.00257	 -0.01459	 -0.00692	 -0.02824	 -0.00174	 0.00024	 -0.00533	 -0.00909	 -0.00533	 -0.04599	 -0.06155	
pileup mu reweighting			 0.00657	 0.01185	 0.01182	 0.01284	 0.00670	 0.00001	 0.00607	 0.00433	 0.00676	 0.00592	 0.01162	 0.00084	 0.01882	
ptrel light template contamination	 -0.00277	 -0.00772	 -0.00880	 -0.01203	 -0.00905	 -0.00402	 -0.00812	 -0.00660	 -0.00782	 -0.00333	 -0.00203	 -0.00867	 -0.00033	
scale factor for inclusive b-jets	 0.03984	 0.03982	 0.04306	 0.04148	 0.03815	 0.03936	 0.04183	 0.04534	 0.04240	 0.04057	 0.04266	 0.04353	 0.04035	
semileptonic correction			 -0.01664	 0.00050	 0.00029	 -0.00355	 -0.00649	 -0.00268	 0.00016	 0.00116	 -0.00312	 0.00016	 0.00232	 0.00614	 -0.00430	
simulation tagging efficiency		 0.01151	 0.01467	 0.00875	 0.01558	 0.01917	 0.00952	 0.00443	 0.00650	 0.00720	 0.01094	 0.01129	 0.00482	 0.00450	
