
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.04816	 0.06432	 0.10230	 0.09236	 0.08903	 0.03807	 0.06710	 0.06367	 0.03038	 0.04376	 0.02437	 0.07563	 0.03064	
b-decay branching fractions		 0.00042	 0.00008	 0.00103	 0.00209	 0.00032	 0.00061	 0.00134	 0.00011	 0.00172	 0.00013	 0.00055	 0.00702	 0.00151	
b-decay p* spectrum			 -0.01441	 -0.01435	 -0.01123	 -0.00695	 -0.01560	 -0.02526	 -0.01433	 -0.00281	 -0.00697	 -0.00632	 -0.00598	 -0.00208	 -0.01017	
b-fragmentation fraction		 0.00273	 0.00103	 -0.00408	 0.00830	 -0.00220	 0.00657	 -0.00633	 0.00238	 0.00357	 -0.00434	 0.00211	 0.00098	 0.00136	
b-fragmentation function		 0.00174	 0.00131	 0.00341	 0.00442	 0.00098	 0.00371	 0.00342	 0.00110	 0.00367	 0.00009	 0.00110	 0.00846	 0.00408	
charm-light ratio			 0.01199	 0.01450	 0.00268	 0.01532	 0.01441	 0.01423	 0.01206	 0.01129	 0.00051	 0.00351	 0.00154	 0.01628	 0.02638	
fake muons in b-jets			 0.00005	 -0.00025	 0.00021	 -0.00134	 -0.00021	 0.00002	 -0.00006	 -0.00053	 0.00026	 -0.00145	 -0.00068	 -0.00094	 -0.00185	
jet energy resolution			 -0.00787	 0.00765	 -0.03215	 -0.00853	 0.00497	 -0.00935	 -0.01510	 0.03647	 -0.01592	 -0.00910	 0.00599	 -0.00491	 -0.00652	
jet energy scale			 0.00361	 0.00096	 0.00614	 0.00127	 0.00728	 0.00042	 0.00461	 0.01376	 0.00632	 0.00363	 0.00134	 0.00228	 0.01037	
modelling of b-production		 0.00082	 0.00044	 0.00039	 0.00183	 0.00055	 0.00026	 0.00006	 0.00003	 0.00080	 0.00008	 0.00015	 0.00357	 0.00235	
modelling of c-production		 0.00160	 0.00205	 0.00653	 0.00888	 0.00036	 0.00192	 0.00838	 0.00705	 0.01950	 0.03215	 0.04051	 0.09549	 0.11378	
modelling of the b-hadron direction	 0.00339	 0.00720	 -0.00661	 0.00142	 -0.00151	 -0.00529	 0.00403	 0.00564	 0.00513	 0.00642	 0.00366	 0.01609	 0.01856	
muon pT spectrum			 -0.00335	 -0.00548	 -0.00867	 -0.00835	 -0.00131	 -0.00406	 -0.00208	 -0.00050	 -0.00603	 -0.00365	 -0.00648	 -0.01417	 -0.00096	
pileup mu reweighting			 0.00372	 0.00244	 0.00640	 0.00670	 0.00024	 0.00116	 0.00231	 0.00704	 0.00169	 0.01291	 0.00321	 0.00239	 0.01394	
ptrel light template contamination	 -0.00193	 -0.00643	 -0.00560	 -0.00830	 -0.00530	 -0.00266	 -0.00606	 -0.00362	 -0.00869	 -0.00269	 -0.00228	 -0.00207	 -0.00113	
scale factor for inclusive b-jets	 0.03487	 0.03613	 0.03686	 0.03386	 0.03393	 0.03326	 0.03585	 0.03539	 0.03923	 0.03567	 0.03681	 0.04278	 0.04174	
semileptonic correction			 -0.00059	 -0.00161	 -0.00172	 0.00012	 -0.00141	 -0.00278	 0.00131	 -0.00056	 -0.00429	 -0.00010	 -0.00232	 0.01382	 -0.00129	
simulation tagging efficiency		 0.01513	 0.01484	 0.01662	 0.01807	 0.02265	 0.01030	 0.00471	 0.00640	 0.00756	 0.01121	 0.01163	 0.00480	 0.00509	
