
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.07332	 0.07059	 0.10239	 0.08775	 0.10268	 0.03914	 0.06439	 0.06875	 0.05806	 0.06103	 0.04348	 0.09341	 0.03981	
b-decay branching fractions		 0.00058	 0.00023	 0.00159	 0.00279	 0.00045	 0.00123	 0.00167	 0.00026	 0.00179	 0.00037	 0.00045	 0.00583	 0.00162	
b-decay p* spectrum			 -0.01686	 -0.01342	 -0.01232	 -0.00873	 -0.01616	 -0.03026	 -0.01867	 -0.00431	 -0.00775	 -0.00471	 -0.00446	 0.00267	 -0.00724	
b-fragmentation fraction		 0.00227	 0.00062	 -0.00491	 0.00880	 -0.00172	 0.00678	 -0.00735	 0.00345	 0.00303	 -0.00473	 0.00125	 0.00011	 0.00009	
b-fragmentation function		 0.00268	 0.00110	 0.00552	 0.00371	 0.00027	 0.00344	 0.00411	 0.00098	 0.00396	 0.00003	 0.00059	 0.00209	 0.00205	
charm-light ratio			 0.01329	 0.01541	 0.00460	 0.01794	 0.01562	 0.01663	 0.01307	 0.01196	 0.00050	 0.00396	 0.00165	 0.01280	 0.02141	
fake muons in b-jets			 0.00005	 -0.00031	 0.00045	 -0.00121	 -0.00032	 -0.00013	 -0.00008	 -0.00069	 0.00034	 -0.00168	 -0.00017	 -0.00048	 -0.00133	
jet energy resolution			 -0.00875	 0.00668	 -0.03820	 -0.00801	 0.00701	 -0.01010	 -0.01696	 0.04492	 -0.01565	 -0.00961	 0.00719	 -0.00883	 -0.00509	
jet energy scale			 0.00481	 0.00105	 0.00894	 0.00166	 0.00805	 0.00190	 0.00562	 0.01535	 0.00629	 0.00470	 0.00138	 0.00313	 0.01216	
modelling of b-production		 0.00123	 0.00031	 0.00093	 0.00175	 0.00053	 0.00060	 0.00002	 0.00027	 0.00093	 0.00062	 0.00220	 0.00257	 0.00091	
modelling of c-production		 0.00158	 0.00217	 0.00777	 0.00998	 0.00028	 0.00195	 0.00978	 0.00970	 0.02082	 0.03395	 0.04431	 0.09217	 0.09857	
modelling of the b-hadron direction	 0.00198	 0.00816	 -0.00796	 -0.00004	 0.00064	 -0.00671	 0.00381	 0.00646	 0.00469	 0.00980	 0.00504	 0.01247	 0.01080	
muon pT spectrum			 -0.00400	 -0.00557	 -0.01116	 -0.01104	 -0.00195	 -0.00648	 -0.00272	 -0.00075	 -0.00642	 -0.00351	 -0.00726	 -0.01179	 -0.00103	
pileup mu reweighting			 0.00427	 0.00242	 0.00735	 0.00646	 0.00030	 0.00086	 0.00271	 0.00804	 0.00173	 0.01379	 0.00272	 0.00388	 0.01303	
ptrel light template contamination	 -0.00209	 -0.00640	 -0.00646	 -0.00884	 -0.00584	 -0.00334	 -0.00635	 -0.00355	 -0.00879	 -0.00269	 -0.00236	 -0.00269	 -0.00095	
scale factor for inclusive b-jets	 0.03473	 0.03410	 0.03792	 0.03344	 0.03309	 0.03522	 0.03580	 0.03585	 0.03857	 0.03498	 0.03513	 0.03825	 0.03600	
semileptonic correction			 -0.00019	 -0.00132	 -0.00221	 0.00171	 -0.00182	 -0.00362	 0.00167	 -0.00053	 -0.00481	 0.00054	 -0.00271	 0.00976	 -0.00156	
simulation tagging efficiency		 0.01480	 0.01655	 0.01108	 0.01668	 0.02112	 0.01003	 0.00459	 0.00633	 0.00747	 0.01113	 0.01159	 0.00485	 0.00510	
