
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.02509	 0.05573	 0.06954	 0.03906	 0.05606	 0.01484	 0.01239	 0.02887	 0.04024	 0.03894	 0.09487	 0.04503	 0.02595	
b-decay branching fractions		 0.01217	 0.01037	 0.00513	 0.00371	 0.00259	 0.01403	 0.00944	 0.00064	 0.00174	 0.00330	 0.00027	 0.00013	 0.00202	
b-decay p* spectrum			 -0.09261	 -0.09475	 -0.02921	 -0.02801	 -0.03148	 -0.03003	 -0.06293	 -0.01622	 -0.00479	 -0.01754	 0.00211	 -0.04965	 -0.01557	
b-fragmentation fraction		 0.01816	 -0.00010	 -0.00572	 0.00719	 -0.01449	 0.03708	 -0.01138	 0.00441	 -0.00045	 0.00888	 -0.00480	 0.00149	 -0.00139	
b-fragmentation function		 0.01765	 0.00807	 0.00255	 0.00595	 0.00321	 0.01303	 0.00852	 0.00059	 0.00217	 0.00320	 0.00398	 0.01338	 0.01045	
charm-light ratio			 0.02682	 0.03597	 0.01702	 0.04107	 0.03151	 0.02133	 0.02152	 0.01067	 0.00802	 0.00804	 0.00689	 0.02084	 0.02841	
fake muons in b-jets			 -0.00625	 -0.00326	 -0.00311	 -0.00639	 0.00018	 -0.00636	 0.00050	 0.00130	 -0.00014	 -0.00175	 0.00017	 -0.00115	 -0.00103	
jet energy resolution			 0.03419	 -0.01461	 -0.01931	 0.02454	 0.02986	 0.03277	 -0.00079	 -0.00068	 0.00896	 0.01095	 0.00371	 -0.03208	 0.00484	
jet energy scale			 0.01628	 0.00805	 0.03441	 0.04153	 0.01895	 0.00430	 0.02584	 0.00638	 0.01424	 0.00248	 0.01087	 0.00585	 0.00239	
modelling of b-production		 0.00724	 0.00058	 0.00212	 0.00157	 0.00156	 0.00139	 0.00076	 0.00158	 0.00054	 0.00056	 0.00079	 0.00986	 0.00780	
modelling of c-production		 0.00478	 0.01144	 0.00629	 0.02398	 0.00228	 0.00329	 0.02497	 0.01992	 0.02845	 0.04448	 0.05425	 0.11230	 0.11557	
modelling of the b-hadron direction	 0.00360	 -0.00988	 -0.00338	 0.01488	 0.00545	 0.01193	 -0.00756	 -0.01262	 0.01397	 0.01614	 0.01688	 0.00360	 0.03317	
muon pT spectrum			 -0.02778	 -0.02352	 -0.01573	 -0.01567	 -0.00665	 -0.02700	 -0.00190	 0.00034	 -0.00506	 -0.00861	 -0.00534	 -0.05476	 -0.07032	
pileup mu reweighting			 0.00157	 0.01108	 0.00759	 0.01492	 0.00728	 0.00509	 0.00562	 0.00437	 0.00638	 0.00568	 0.01084	 0.00093	 0.01856	
ptrel light template contamination	 -0.00273	 -0.00788	 -0.00924	 -0.01210	 -0.00867	 -0.00389	 -0.00879	 -0.00654	 -0.00758	 -0.00337	 -0.00202	 -0.00864	 -0.00033	
scale factor for inclusive b-jets	 0.03889	 0.03915	 0.04277	 0.04001	 0.03574	 0.03797	 0.04369	 0.04481	 0.04134	 0.03954	 0.04140	 0.04244	 0.03973	
semileptonic correction			 -0.01621	 -0.00296	 0.00029	 -0.00316	 -0.00667	 -0.00261	 0.00038	 0.00073	 -0.00330	 0.00069	 0.00218	 0.00632	 -0.00417	
simulation tagging efficiency		 0.01036	 0.01615	 0.00927	 0.01714	 0.02007	 0.00938	 0.00474	 0.00677	 0.00747	 0.01130	 0.01167	 0.00488	 0.00468	
