
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.07674	 0.10605	 0.16850	 0.14202	 0.13561	 0.08591	 0.08577	 0.08775	 0.06344	 0.09511	 0.05646	 0.10921	 0.05678	
b-decay branching fractions		 0.00058	 0.00004	 0.00156	 0.00257	 0.00064	 0.00101	 0.00128	 0.00013	 0.00171	 0.00008	 0.00066	 0.00595	 0.00160	
b-decay p* spectrum			 -0.01726	 -0.01709	 -0.01270	 -0.00981	 -0.02339	 -0.02902	 -0.01465	 -0.00440	 -0.00715	 -0.00621	 -0.00218	 -0.00035	 -0.00457	
b-fragmentation fraction		 0.00260	 0.00081	 -0.00547	 0.00807	 -0.00217	 0.00614	 -0.00670	 0.00252	 0.00283	 -0.00464	 0.00317	 0.00129	 0.00011	
b-fragmentation function		 0.00231	 0.00111	 0.00534	 0.00555	 0.00008	 0.00303	 0.00317	 0.00072	 0.00384	 0.00035	 0.00167	 0.00285	 0.00322	
charm-light ratio			 0.01301	 0.01524	 0.00388	 0.01679	 0.01676	 0.01456	 0.01359	 0.01186	 0.00015	 0.00354	 0.00265	 0.01369	 0.02124	
fake muons in b-jets			 -0.00005	 -0.00019	 0.00044	 -0.00145	 -0.00038	 0.00002	 -0.00001	 -0.00044	 0.00023	 -0.00159	 -0.00116	 -0.00064	 -0.00135	
jet energy resolution			 -0.00834	 0.00684	 -0.03643	 -0.01075	 0.00272	 -0.01196	 -0.02030	 0.03539	 -0.01578	 -0.00934	 0.00823	 -0.00651	 -0.00781	
jet energy scale			 0.00354	 0.00153	 0.00769	 0.00105	 0.01344	 0.00003	 0.00603	 0.01323	 0.00663	 0.00466	 0.00142	 0.00197	 0.00688	
modelling of b-production		 0.00056	 0.00039	 0.00082	 0.00204	 0.00054	 0.00069	 0.00023	 0.00008	 0.00089	 0.00047	 0.00113	 0.00315	 0.00105	
modelling of c-production		 0.00185	 0.00226	 0.00760	 0.01017	 0.00006	 0.00165	 0.00959	 0.00835	 0.02039	 0.03302	 0.04035	 0.08958	 0.09560	
modelling of the b-hadron direction	 0.00106	 0.01076	 -0.00534	 -0.00298	 -0.00388	 -0.00280	 0.00268	 0.00609	 0.00509	 0.00454	 0.00647	 0.01195	 0.00709	
muon pT spectrum			 -0.00382	 -0.00611	 -0.01170	 -0.01054	 -0.00287	 -0.00526	 -0.00222	 -0.00050	 -0.00635	 -0.00348	 -0.00561	 -0.01211	 0.00075	
pileup mu reweighting			 0.00205	 0.00155	 0.00808	 0.00577	 0.00335	 0.00031	 0.00298	 0.00748	 0.00164	 0.01292	 0.00246	 0.00245	 0.01297	
ptrel light template contamination	 -0.00225	 -0.00625	 -0.00634	 -0.00833	 -0.00578	 -0.00290	 -0.00652	 -0.00360	 -0.00869	 -0.00271	 -0.00203	 -0.00203	 -0.00101	
scale factor for inclusive b-jets	 0.03309	 0.03505	 0.03750	 0.03250	 0.03218	 0.03328	 0.03457	 0.03459	 0.03817	 0.03392	 0.03426	 0.03807	 0.03638	
semileptonic correction			 -0.00084	 -0.00211	 -0.00255	 0.00064	 -0.00204	 -0.00370	 0.00143	 -0.00128	 -0.00362	 0.00011	 -0.00135	 0.01031	 -0.00122	
simulation tagging efficiency		 0.01519	 0.01677	 0.01072	 0.01986	 0.02183	 0.01239	 0.00506	 0.00681	 0.00804	 0.01185	 0.01227	 0.00504	 0.00522	
