
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.05090	 0.06347	 0.08933	 0.06988	 0.12369	 0.03671	 0.06672	 0.08010	 0.07233	 0.08070	 0.09322	 0.07891	 0.05903	
b-decay branching fractions		 0.00071	 0.00179	 0.00104	 0.00003	 0.00094	 0.00056	 0.00174	 0.00010	 0.00066	 0.00176	 0.00001	 0.00023	 0.00004	
b-decay p* spectrum			 -0.02680	 -0.01290	 0.00697	 -0.01442	 -0.01696	 -0.01894	 -0.02891	 -0.00566	 -0.00022	 -0.00867	 0.00760	 0.00084	 -0.00377	
b-fragmentation fraction		 -0.00108	 -0.00047	 -0.00431	 -0.00141	 -0.00719	 -0.00158	 -0.00765	 0.00286	 -0.00079	 0.00628	 -0.00165	 0.00146	 -0.00196	
b-fragmentation function		 0.00067	 0.00498	 0.00004	 0.00132	 0.00114	 0.00291	 0.00246	 0.00008	 0.00159	 0.00205	 0.00246	 0.00803	 0.00676	
charm-light ratio			 0.01320	 0.02143	 0.01275	 0.02325	 0.01850	 0.01333	 0.01269	 0.00895	 0.00653	 0.00736	 0.00653	 0.01058	 0.01867	
fake muons in b-jets			 -0.00012	 0.00020	 0.00156	 -0.00225	 -0.00007	 -0.00002	 0.00007	 0.00054	 -0.00004	 -0.00119	 -0.00064	 -0.00045	 -0.00088	
jet energy resolution			 0.00649	 0.00372	 -0.01260	 0.00134	 0.01622	 -0.00186	 -0.00730	 -0.00077	 0.00308	 0.00874	 -0.00319	 -0.02116	 0.00057	
jet energy scale			 0.00791	 0.00137	 0.00756	 0.01579	 0.00895	 0.00297	 0.00009	 0.00614	 0.00608	 0.00346	 0.00937	 0.00514	 0.00375	
modelling of b-production		 0.00042	 0.00008	 0.00161	 0.00124	 0.00039	 0.00029	 0.00077	 0.00031	 0.00050	 0.00064	 0.00118	 0.00760	 0.00302	
modelling of c-production		 0.00202	 0.00671	 0.00383	 0.01411	 0.00131	 0.00239	 0.01323	 0.01156	 0.01749	 0.02985	 0.03594	 0.07649	 0.09003	
modelling of the b-hadron direction	 0.00310	 -0.00214	 0.00276	 0.00350	 0.00466	 0.00156	 0.00366	 -0.00507	 0.00900	 0.01036	 0.01052	 0.00356	 0.02276	
muon pT spectrum			 -0.00359	 -0.00362	 -0.00142	 -0.00533	 -0.00279	 -0.00255	 -0.00073	 0.00016	 -0.00330	 -0.00495	 -0.00095	 -0.01292	 -0.01171	
pileup mu reweighting			 0.00787	 0.00561	 0.00856	 0.00126	 0.00495	 0.00580	 0.00046	 0.00314	 0.00398	 0.00323	 0.00583	 0.00131	 0.01357	
ptrel light template contamination	 -0.00198	 -0.00518	 -0.00598	 -0.00799	 -0.00637	 -0.00241	 -0.00569	 -0.00426	 -0.00661	 -0.00258	 -0.00167	 -0.00564	 -0.00033	
scale factor for inclusive b-jets	 0.03284	 0.03345	 0.03538	 0.03072	 0.03145	 0.02980	 0.03522	 0.03595	 0.03689	 0.03403	 0.03518	 0.03738	 0.03725	
semileptonic correction			 -0.00443	 0.00002	 0.00003	 -0.00369	 -0.00299	 -0.00161	 -0.00148	 0.00027	 -0.00016	 -0.00021	 0.00028	 0.00300	 -0.00359	
simulation tagging efficiency		 0.00796	 0.01475	 0.01003	 0.01171	 0.01848	 0.00889	 0.00511	 0.00710	 0.00802	 0.01168	 0.01207	 0.00448	 0.00472	
