
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.04635	 0.04941	 0.05879	 0.03408	 0.06254	 0.01664	 0.04597	 0.05538	 0.05345	 0.05149	 0.09455	 0.05737	 0.04423	
b-decay branching fractions		 0.00070	 0.00188	 0.00090	 0.00064	 0.00096	 0.00058	 0.00229	 0.00008	 0.00088	 0.00197	 0.00004	 0.00043	 0.00052	
b-decay p* spectrum			 -0.03345	 -0.01521	 0.00588	 -0.01666	 -0.01716	 -0.02290	 -0.03297	 -0.00649	 -0.00044	 -0.01009	 0.00642	 0.00191	 -0.00012	
b-fragmentation fraction		 -0.00158	 -0.00097	 -0.00373	 -0.00092	 -0.00874	 -0.00110	 -0.00913	 0.00339	 -0.00006	 0.00626	 -0.00264	 0.00042	 -0.00127	
b-fragmentation function		 0.00026	 0.00316	 0.00039	 0.00146	 0.00119	 0.00221	 0.00425	 0.00006	 0.00126	 0.00228	 0.00239	 0.01118	 0.00715	
charm-light ratio			 0.01660	 0.02440	 0.01263	 0.02725	 0.02083	 0.01698	 0.01489	 0.00957	 0.00694	 0.00683	 0.00722	 0.01113	 0.01729	
fake muons in b-jets			 -0.00020	 -0.00000	 0.00120	 -0.00299	 -0.00001	 0.00027	 0.00004	 0.00069	 -0.00010	 -0.00115	 -0.00048	 -0.00005	 -0.00119	
jet energy resolution			 0.00496	 0.00010	 -0.01198	 0.00279	 0.00929	 -0.00291	 -0.00528	 0.00128	 0.00622	 0.00759	 0.00119	 -0.01797	 0.00506	
jet energy scale			 0.01484	 0.00177	 0.00644	 0.01855	 0.00368	 0.00379	 0.00501	 0.00713	 0.00730	 0.00293	 0.00862	 0.00635	 0.00338	
modelling of b-production		 0.00046	 0.00005	 0.00116	 0.00068	 0.00078	 0.00014	 0.00064	 0.00047	 0.00047	 0.00048	 0.00122	 0.00989	 0.00326	
modelling of c-production		 0.00256	 0.00781	 0.00423	 0.01666	 0.00148	 0.00293	 0.01632	 0.01306	 0.01950	 0.03122	 0.04099	 0.08027	 0.08893	
modelling of the b-hadron direction	 0.00285	 0.00003	 0.00395	 0.00462	 0.00396	 0.00184	 0.00396	 -0.00647	 0.01011	 0.01099	 0.01263	 0.00150	 0.02805	
muon pT spectrum			 -0.00463	 -0.00379	 -0.00164	 -0.00785	 -0.00336	 -0.00310	 -0.00104	 0.00031	 -0.00323	 -0.00515	 -0.00195	 -0.01274	 -0.01347	
pileup mu reweighting			 0.00948	 0.00678	 0.00663	 0.00372	 0.00492	 0.00674	 0.00166	 0.00342	 0.00454	 0.00370	 0.00708	 0.00178	 0.01530	
ptrel light template contamination	 -0.00220	 -0.00592	 -0.00610	 -0.00947	 -0.00699	 -0.00312	 -0.00619	 -0.00448	 -0.00651	 -0.00275	 -0.00186	 -0.00699	 -0.00031	
scale factor for inclusive b-jets	 0.03551	 0.03486	 0.03571	 0.03395	 0.03234	 0.03473	 0.03805	 0.03739	 0.03690	 0.03424	 0.03706	 0.03674	 0.03585	
semileptonic correction			 -0.00572	 0.00045	 0.00010	 -0.00324	 -0.00449	 -0.00280	 0.00003	 -0.00002	 -0.00083	 0.00061	 0.00051	 0.00262	 -0.00292	
simulation tagging efficiency		 0.01107	 0.01548	 0.00919	 0.01366	 0.02010	 0.00914	 0.00469	 0.00659	 0.00741	 0.01103	 0.01144	 0.00464	 0.00456	
