
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.04024	 0.04460	 0.06157	 0.03566	 0.05360	 0.01610	 0.04090	 0.05348	 0.04851	 0.05185	 0.08960	 0.06186	 0.04574	
b-decay branching fractions		 0.00056	 0.00180	 0.00090	 0.00069	 0.00123	 0.00052	 0.00230	 0.00009	 0.00084	 0.00195	 0.00008	 0.00038	 0.00062	
b-decay p* spectrum			 -0.03318	 -0.01515	 0.00541	 -0.01695	 -0.01918	 -0.02303	 -0.03314	 -0.00660	 -0.00062	 -0.01056	 0.00640	 0.00103	 -0.00103	
b-fragmentation fraction		 -0.00146	 -0.00106	 -0.00398	 -0.00087	 -0.00986	 -0.00108	 -0.00882	 0.00304	 -0.00016	 0.00587	 -0.00290	 0.00099	 -0.00150	
b-fragmentation function		 0.00035	 0.00315	 0.00073	 0.00193	 0.00123	 0.00232	 0.00430	 0.00007	 0.00143	 0.00238	 0.00237	 0.01119	 0.00774	
charm-light ratio			 0.01680	 0.02427	 0.01322	 0.02766	 0.02204	 0.01775	 0.01496	 0.00962	 0.00691	 0.00701	 0.00745	 0.01099	 0.01731	
fake muons in b-jets			 -0.00022	 -0.00003	 0.00134	 -0.00289	 -0.00002	 0.00017	 0.00003	 0.00077	 -0.00006	 -0.00115	 -0.00058	 -0.00016	 -0.00120	
jet energy resolution			 0.00358	 -0.00039	 -0.01383	 0.00257	 0.00946	 -0.00223	 -0.00569	 0.00191	 0.00483	 0.00790	 0.00116	 -0.01872	 0.00400	
jet energy scale			 0.01466	 0.00233	 0.00657	 0.01832	 0.00366	 0.00409	 0.00459	 0.00710	 0.00690	 0.00306	 0.00884	 0.00612	 0.00315	
modelling of b-production		 0.00049	 0.00014	 0.00122	 0.00063	 0.00098	 0.00023	 0.00063	 0.00042	 0.00057	 0.00063	 0.00107	 0.00981	 0.00356	
modelling of c-production		 0.00259	 0.00785	 0.00451	 0.01694	 0.00170	 0.00306	 0.01653	 0.01298	 0.01917	 0.03184	 0.04073	 0.08131	 0.08950	
modelling of the b-hadron direction	 0.00197	 -0.00016	 0.00375	 0.00279	 0.00395	 0.00200	 0.00340	 -0.00662	 0.00883	 0.01135	 0.01179	 0.00251	 0.02769	
muon pT spectrum			 -0.00461	 -0.00358	 -0.00177	 -0.00800	 -0.00381	 -0.00313	 -0.00100	 0.00030	 -0.00327	 -0.00526	 -0.00200	 -0.01317	 -0.01420	
pileup mu reweighting			 0.00929	 0.00693	 0.00663	 0.00392	 0.00491	 0.00650	 0.00184	 0.00352	 0.00423	 0.00375	 0.00713	 0.00176	 0.01554	
ptrel light template contamination	 -0.00220	 -0.00599	 -0.00648	 -0.00999	 -0.00716	 -0.00321	 -0.00629	 -0.00460	 -0.00650	 -0.00276	 -0.00186	 -0.00754	 -0.00031	
scale factor for inclusive b-jets	 0.03553	 0.03534	 0.03756	 0.03580	 0.03319	 0.03590	 0.03874	 0.03772	 0.03691	 0.03492	 0.03705	 0.03742	 0.03656	
semileptonic correction			 -0.00527	 0.00020	 0.00000	 -0.00325	 -0.00472	 -0.00270	 -0.00037	 -0.00025	 -0.00096	 0.00045	 0.00059	 0.00247	 -0.00308	
simulation tagging efficiency		 0.01060	 0.01477	 0.00903	 0.01340	 0.01872	 0.00885	 0.00462	 0.00649	 0.00730	 0.01089	 0.01129	 0.00460	 0.00450	
