
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.03568	 0.04217	 0.08707	 0.05955	 0.06209	 0.01663	 0.03823	 0.05449	 0.03310	 0.03630	 0.04302	 0.07122	 0.03602	
b-decay branching fractions		 0.00042	 0.00042	 0.00111	 0.00322	 0.00038	 0.00082	 0.00200	 0.00024	 0.00187	 0.00028	 0.00053	 0.00608	 0.00153	
b-decay p* spectrum			 -0.01578	 -0.01259	 -0.01129	 -0.00914	 -0.01339	 -0.03079	 -0.02161	 -0.00446	 -0.00817	 -0.00669	 -0.00391	 0.00343	 -0.00791	
b-fragmentation fraction		 0.00240	 0.00039	 -0.00281	 0.00812	 -0.00128	 0.00529	 -0.00850	 0.00364	 0.00248	 -0.00482	 0.00251	 0.00026	 0.00203	
b-fragmentation function		 0.00299	 0.00069	 0.00542	 0.00294	 0.00069	 0.00244	 0.00472	 0.00048	 0.00423	 0.00085	 0.00106	 0.00304	 0.00394	
charm-light ratio			 0.01286	 0.01617	 0.00437	 0.01968	 0.01581	 0.01916	 0.01467	 0.01293	 0.00091	 0.00418	 0.00244	 0.01491	 0.02454	
fake muons in b-jets			 0.00007	 -0.00041	 0.00041	 -0.00120	 -0.00016	 -0.00025	 -0.00012	 -0.00092	 0.00035	 -0.00159	 -0.00094	 -0.00059	 -0.00094	
jet energy resolution			 -0.00644	 0.00801	 -0.03691	 -0.01043	 0.01189	 -0.02002	 -0.01633	 0.04708	 -0.01834	 -0.01051	 0.00898	 -0.00652	 -0.01009	
jet energy scale			 0.00404	 0.00006	 0.00665	 0.00228	 0.00737	 0.00064	 0.00577	 0.01684	 0.00740	 0.00593	 0.00149	 0.00091	 0.01068	
modelling of b-production		 0.00165	 0.00024	 0.00087	 0.00180	 0.00039	 0.00064	 0.00014	 0.00014	 0.00130	 0.00055	 0.00222	 0.00220	 0.00014	
modelling of c-production		 0.00149	 0.00216	 0.00846	 0.01114	 0.00049	 0.00237	 0.01087	 0.01229	 0.02284	 0.03903	 0.04949	 0.09647	 0.10864	
modelling of the b-hadron direction	 0.00136	 0.00791	 -0.00841	 -0.00207	 -0.00086	 -0.00725	 0.00674	 0.00693	 0.00235	 0.00778	 0.00663	 0.01281	 0.01273	
muon pT spectrum			 -0.00362	 -0.00599	 -0.01011	 -0.01228	 -0.00078	 -0.00725	 -0.00305	 -0.00073	 -0.00741	 -0.00406	 -0.00724	 -0.01210	 -0.00108	
pileup mu reweighting			 0.00468	 0.00276	 0.00746	 0.00835	 0.00293	 0.00023	 0.00272	 0.00867	 0.00197	 0.01494	 0.00279	 0.00233	 0.01355	
ptrel light template contamination	 -0.00220	 -0.00588	 -0.00726	 -0.01045	 -0.00614	 -0.00384	 -0.00753	 -0.00420	 -0.00964	 -0.00243	 -0.00246	 -0.00275	 -0.00093	
scale factor for inclusive b-jets	 0.03716	 0.03732	 0.04055	 0.03928	 0.03686	 0.03939	 0.03869	 0.03926	 0.04135	 0.03792	 0.03829	 0.03977	 0.03852	
semileptonic correction			 -0.00005	 -0.00080	 -0.00179	 0.00238	 -0.00177	 -0.00326	 0.00190	 -0.00094	 -0.00511	 0.00051	 -0.00273	 0.01189	 -0.00159	
simulation tagging efficiency		 0.01328	 0.01462	 0.01211	 0.01877	 0.01800	 0.00839	 0.00427	 0.00597	 0.00709	 0.01068	 0.01116	 0.00467	 0.00492	
