
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.01024	 0.02993	 0.03343	 0.01537	 0.03330	 0.01141	 0.00646	 0.01400	 0.01098	 0.02154	 0.06185	 0.02543	 0.01731	
b-decay branching fractions		 0.00072	 0.00117	 0.00028	 0.00013	 0.00036	 0.00039	 0.00142	 0.00021	 0.00048	 0.00159	 0.00012	 0.00040	 0.00026	
b-decay p* spectrum			 -0.01987	 -0.00989	 0.00366	 -0.00951	 -0.01003	 -0.01536	 -0.02207	 -0.00268	 -0.00044	 -0.00901	 0.00670	 -0.00048	 -0.00366	
b-fragmentation fraction		 -0.00082	 -0.00015	 -0.00215	 -0.00070	 -0.00443	 -0.00043	 -0.00569	 0.00339	 -0.00054	 0.00438	 -0.00387	 0.00266	 -0.00164	
b-fragmentation function		 0.00022	 0.00253	 0.00048	 0.00097	 0.00052	 0.00333	 0.00282	 0.00081	 0.00067	 0.00214	 0.00171	 0.00692	 0.00671	
charm-light ratio			 0.01191	 0.01811	 0.00968	 0.01789	 0.01453	 0.01444	 0.01095	 0.00882	 0.00591	 0.00680	 0.00640	 0.01048	 0.01971	
fake muons in b-jets			 -0.00015	 -0.00003	 0.00071	 -0.00123	 -0.00007	 -0.00001	 -0.00002	 0.00054	 -0.00011	 -0.00090	 -0.00056	 -0.00058	 -0.00102	
jet energy resolution			 0.00384	 -0.00110	 -0.00919	 -0.00236	 0.00194	 0.00361	 -0.00415	 -0.00065	 0.00485	 0.00664	 -0.00286	 -0.02223	 0.00139	
jet energy scale			 0.00626	 0.00080	 0.00458	 0.01068	 0.00026	 0.00010	 0.00312	 0.00681	 0.00456	 0.00342	 0.00729	 0.00415	 0.00256	
modelling of b-production		 0.00048	 0.00003	 0.00069	 0.00009	 0.00030	 0.00047	 0.00069	 0.00000	 0.00031	 0.00037	 0.00048	 0.00578	 0.00301	
modelling of c-production		 0.00175	 0.00546	 0.00285	 0.01231	 0.00098	 0.00230	 0.01175	 0.01046	 0.01487	 0.02835	 0.03105	 0.07464	 0.09296	
modelling of the b-hadron direction	 0.00084	 -0.00052	 0.00185	 -0.00141	 0.00132	 0.00135	 0.00223	 -0.00600	 0.00751	 0.01037	 0.00887	 0.00379	 0.02403	
muon pT spectrum			 -0.00247	 -0.00241	 -0.00115	 -0.00409	 -0.00197	 -0.00186	 -0.00067	 0.00037	 -0.00232	 -0.00448	 -0.00221	 -0.01301	 -0.01253	
pileup mu reweighting			 0.00560	 0.00550	 0.00448	 0.00030	 0.00260	 0.00460	 0.00139	 0.00285	 0.00318	 0.00359	 0.00642	 0.00118	 0.01373	
ptrel light template contamination	 -0.00165	 -0.00489	 -0.00426	 -0.00761	 -0.00443	 -0.00248	 -0.00542	 -0.00413	 -0.00646	 -0.00285	 -0.00170	 -0.00565	 -0.00043	
scale factor for inclusive b-jets	 0.03873	 0.03861	 0.03929	 0.03946	 0.03758	 0.03945	 0.03975	 0.03952	 0.03946	 0.03921	 0.03935	 0.04235	 0.04243	
semileptonic correction			 -0.00363	 -0.00027	 -0.00066	 -0.00169	 -0.00227	 -0.00181	 -0.00044	 -0.00062	 -0.00060	 -0.00030	 0.00081	 0.00304	 -0.00346	
simulation tagging efficiency		 0.01087	 0.01288	 0.00913	 0.01588	 0.01751	 0.00823	 0.00410	 0.00585	 0.00667	 0.01013	 0.01030	 0.00429	 0.00413	
