
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.04386	 0.03048	 0.06885	 0.04522	 0.05711	 0.02610	 0.04515	 0.05977	 0.05069	 0.05391	 0.08703	 0.06208	 0.04892	
b-decay branching fractions		 0.00064	 0.00155	 0.00093	 0.00002	 0.00090	 0.00054	 0.00187	 0.00008	 0.00084	 0.00189	 0.00008	 0.00039	 0.00038	
b-decay p* spectrum			 -0.03047	 -0.01340	 0.00607	 -0.01550	 -0.01583	 -0.01890	 -0.02883	 -0.00639	 -0.00101	 -0.01034	 0.00543	 0.00132	 -0.00277	
b-fragmentation fraction		 -0.00077	 -0.00051	 -0.00364	 -0.00147	 -0.00743	 -0.00117	 -0.00780	 0.00270	 -0.00027	 0.00561	 -0.00267	 0.00158	 -0.00182	
b-fragmentation function		 0.00044	 0.00347	 0.00018	 0.00151	 0.00121	 0.00232	 0.00330	 0.00081	 0.00149	 0.00214	 0.00187	 0.00970	 0.00706	
charm-light ratio			 0.01528	 0.02294	 0.01229	 0.02364	 0.01964	 0.01542	 0.01303	 0.00894	 0.00689	 0.00680	 0.00695	 0.01070	 0.01896	
fake muons in b-jets			 -0.00021	 0.00001	 0.00110	 -0.00247	 -0.00001	 0.00009	 -0.00002	 0.00076	 -0.00012	 -0.00124	 -0.00055	 -0.00029	 -0.00090	
jet energy resolution			 0.00469	 0.00021	 -0.01021	 0.00091	 0.00812	 -0.00208	 -0.00639	 0.00265	 0.00467	 0.00676	 0.00065	 -0.02002	 0.00170	
jet energy scale			 0.01006	 0.00072	 0.00652	 0.01489	 0.00491	 0.00234	 0.00323	 0.00652	 0.00664	 0.00368	 0.00796	 0.00574	 0.00310	
modelling of b-production		 0.00058	 0.00004	 0.00120	 0.00017	 0.00069	 0.00016	 0.00069	 0.00038	 0.00056	 0.00079	 0.00102	 0.00921	 0.00251	
modelling of c-production		 0.00225	 0.00722	 0.00411	 0.01468	 0.00121	 0.00271	 0.01431	 0.01197	 0.01932	 0.03023	 0.03787	 0.08140	 0.09054	
modelling of the b-hadron direction	 0.00352	 -0.00079	 0.00342	 0.00138	 0.00305	 0.00147	 0.00284	 -0.00557	 0.00908	 0.01033	 0.01091	 0.00237	 0.02408	
muon pT spectrum			 -0.00432	 -0.00348	 -0.00185	 -0.00614	 -0.00285	 -0.00268	 -0.00082	 0.00023	 -0.00334	 -0.00521	 -0.00194	 -0.01321	 -0.01333	
pileup mu reweighting			 0.00955	 0.00579	 0.00704	 0.00137	 0.00532	 0.00557	 0.00123	 0.00338	 0.00423	 0.00367	 0.00679	 0.00212	 0.01436	
ptrel light template contamination	 -0.00199	 -0.00568	 -0.00609	 -0.00892	 -0.00611	 -0.00282	 -0.00549	 -0.00440	 -0.00643	 -0.00282	 -0.00199	 -0.00716	 -0.00030	
scale factor for inclusive b-jets	 0.03420	 0.03440	 0.03570	 0.03225	 0.03209	 0.03310	 0.03560	 0.03631	 0.03758	 0.03450	 0.03603	 0.03824	 0.03685	
semileptonic correction			 -0.00519	 0.00033	 0.00011	 -0.00266	 -0.00317	 -0.00188	 -0.00035	 -0.00048	 -0.00105	 0.00009	 0.00029	 0.00265	 -0.00344	
simulation tagging efficiency		 0.01052	 0.01560	 0.00926	 0.01130	 0.02022	 0.00927	 0.00461	 0.00654	 0.00738	 0.01097	 0.01128	 0.00470	 0.00447	
