
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.03835	 0.04162	 0.04778	 0.01986	 0.05199	 0.01352	 0.03144	 0.03649	 0.03187	 0.04413	 0.07923	 0.05585	 0.04020	
b-decay branching fractions		 0.00074	 0.00164	 0.00106	 0.00071	 0.00069	 0.00053	 0.00242	 0.00017	 0.00073	 0.00216	 0.00014	 0.00074	 0.00062	
b-decay p* spectrum			 -0.02793	 -0.01171	 0.00727	 -0.01505	 -0.01381	 -0.02104	 -0.03154	 -0.00780	 -0.00170	 -0.01134	 0.00620	 -0.00016	 -0.00527	
b-fragmentation fraction		 -0.00076	 -0.00109	 -0.00344	 0.00069	 -0.00529	 -0.00248	 -0.00921	 0.00329	 -0.00058	 0.00641	 -0.00284	 0.00102	 -0.00113	
b-fragmentation function		 0.00027	 0.00219	 0.00048	 0.00171	 0.00198	 0.00340	 0.00381	 0.00123	 0.00151	 0.00254	 0.00238	 0.01054	 0.00776	
charm-light ratio			 0.01357	 0.02381	 0.01105	 0.02768	 0.01765	 0.01709	 0.01505	 0.01129	 0.00590	 0.00823	 0.00795	 0.01222	 0.02110	
fake muons in b-jets			 -0.00012	 0.00001	 0.00109	 -0.00323	 -0.00009	 -0.00007	 -0.00006	 0.00110	 -0.00002	 -0.00129	 -0.00070	 -0.00011	 -0.00080	
jet energy resolution			 0.00441	 0.00009	 -0.00851	 0.00208	 0.00237	 -0.00109	 -0.00070	 0.00410	 0.00418	 0.00721	 0.00131	 -0.02441	 0.00244	
jet energy scale			 0.00649	 0.00282	 0.00699	 0.01872	 0.00839	 0.00070	 0.00524	 0.00755	 0.00586	 0.00355	 0.00886	 0.00641	 0.00322	
modelling of b-production		 0.00066	 0.00011	 0.00113	 0.00013	 0.00041	 0.00009	 0.00098	 0.00077	 0.00070	 0.00068	 0.00110	 0.00930	 0.00429	
modelling of c-production		 0.00176	 0.00653	 0.00358	 0.01682	 0.00112	 0.00275	 0.01581	 0.01353	 0.01970	 0.03434	 0.03993	 0.08753	 0.09777	
modelling of the b-hadron direction	 0.00215	 0.00019	 0.00525	 -0.00023	 0.00246	 0.00161	 0.00364	 -0.00783	 0.00929	 0.01211	 0.01237	 0.00224	 0.02706	
muon pT spectrum			 0.00422	 0.00783	 0.00168	 0.00631	 0.01010	 -0.00109	 0.00657	 0.00945	 -0.00497	 -0.00320	 -0.00069	 -0.01198	 -0.01496	
pileup mu reweighting			 0.00811	 0.00639	 0.00647	 0.00468	 0.00467	 0.00701	 0.00295	 0.00478	 0.00537	 0.00430	 0.00757	 0.00125	 0.01605	
ptrel light template contamination	 -0.00231	 -0.00662	 -0.00653	 -0.01006	 -0.00692	 -0.00331	 -0.00623	 -0.00525	 -0.00709	 -0.00281	 -0.00201	 -0.00672	 -0.00031	
scale factor for inclusive b-jets	 0.03692	 0.03681	 0.03928	 0.03799	 0.03524	 0.03774	 0.03862	 0.04053	 0.03917	 0.03813	 0.03832	 0.04036	 0.03947	
semileptonic correction			 -0.00426	 0.00045	 0.00167	 -0.00276	 -0.00178	 -0.00171	 0.00004	 -0.00070	 -0.00109	 0.00033	 0.00086	 0.00256	 -0.00351	
simulation tagging efficiency		 0.01052	 0.01357	 0.00840	 0.01630	 0.01761	 0.00888	 0.00427	 0.00621	 0.00695	 0.01055	 0.01079	 0.00446	 0.00432	
