
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.04773	 0.06011	 0.07154	 0.03748	 0.07890	 0.01482	 0.01218	 0.03002	 0.04185	 0.03834	 0.09481	 0.04466	 0.02598	
b-decay branching fractions		 0.01257	 0.00925	 0.00446	 0.00398	 0.00274	 0.01413	 0.00817	 0.00069	 0.00163	 0.00320	 0.00034	 0.00029	 0.00197	
b-decay p* spectrum			 -0.09090	 -0.09195	 -0.02327	 -0.03059	 -0.02633	 -0.02905	 -0.06086	 -0.01570	 -0.00479	 -0.01721	 0.00253	 -0.05293	 -0.01570	
b-fragmentation fraction		 0.01109	 -0.00064	 -0.00528	 0.00570	 -0.01198	 0.03660	 -0.01342	 0.00515	 -0.00110	 0.00849	 -0.00407	 0.00161	 -0.00150	
b-fragmentation function		 0.01144	 0.00564	 0.00298	 0.00438	 0.00233	 0.01319	 0.00730	 0.00125	 0.00205	 0.00313	 0.00401	 0.01120	 0.01035	
charm-light ratio			 0.02453	 0.03572	 0.01304	 0.04031	 0.02771	 0.02013	 0.02142	 0.01230	 0.00606	 0.00884	 0.00699	 0.02030	 0.02724	
fake muons in b-jets			 -0.00639	 -0.00108	 -0.00157	 -0.00735	 0.00005	 -0.00626	 0.00025	 0.00135	 -0.00013	 -0.00171	 0.00015	 -0.00106	 -0.00104	
jet energy resolution			 0.02612	 -0.01132	 -0.01665	 0.02155	 0.01559	 0.03882	 0.00502	 0.00205	 0.00811	 0.01029	 0.00530	 -0.03338	 0.00456	
jet energy scale			 0.00057	 0.01000	 0.03542	 0.04125	 0.00500	 0.00712	 0.02437	 0.00761	 0.01271	 0.00179	 0.01050	 0.00559	 0.00296	
modelling of b-production		 0.00731	 0.00030	 0.00206	 0.00146	 0.00174	 0.00193	 0.00099	 0.00175	 0.00062	 0.00035	 0.00090	 0.00997	 0.00763	
modelling of c-production		 0.00388	 0.01024	 0.00504	 0.02239	 0.00173	 0.00292	 0.02429	 0.01923	 0.02743	 0.04384	 0.05361	 0.11190	 0.11499	
modelling of the b-hadron direction	 0.00317	 -0.00627	 -0.00068	 0.01483	 0.00518	 0.01108	 -0.00728	 -0.01229	 0.01403	 0.01588	 0.01627	 0.00448	 0.03304	
muon pT spectrum			 -0.03118	 -0.01559	 -0.01121	 0.00715	 -0.00978	 -0.01972	 0.01069	 0.01261	 -0.00758	 -0.00454	 -0.00203	 -0.05313	 -0.06776	
pileup mu reweighting			 0.00515	 0.01061	 0.00645	 0.01613	 0.00831	 0.00527	 0.00580	 0.00554	 0.00731	 0.00570	 0.01067	 0.00066	 0.01941	
ptrel light template contamination	 -0.00300	 -0.00832	 -0.00958	 -0.01118	 -0.00961	 -0.00391	 -0.00851	 -0.00639	 -0.00767	 -0.00336	 -0.00206	 -0.00844	 -0.00032	
scale factor for inclusive b-jets	 0.03902	 0.03885	 0.04260	 0.03912	 0.03586	 0.03768	 0.04320	 0.04433	 0.04144	 0.03937	 0.04126	 0.04238	 0.03962	
semileptonic correction			 -0.01525	 -0.00083	 0.00413	 -0.00339	 -0.00241	 -0.00351	 0.00086	 0.00096	 -0.00349	 0.00065	 0.00242	 0.00625	 -0.00413	
simulation tagging efficiency		 0.01037	 0.01613	 0.00926	 0.01708	 0.02016	 0.00939	 0.00474	 0.00676	 0.00747	 0.01130	 0.01167	 0.00488	 0.00468	
