
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.03231	 0.04626	 0.06701	 0.04073	 0.05429	 0.00554	 0.00598	 0.01891	 0.03162	 0.03414	 0.02247	 0.02080	 0.01674	
b-decay branching fractions		 0.00023	 0.00018	 0.00040	 0.00168	 0.00012	 0.00039	 0.00139	 0.00001	 0.00113	 0.00005	 0.00036	 0.00575	 0.00146	
b-decay p* spectrum			 -0.01091	 -0.00897	 -0.00732	 -0.00466	 -0.00776	 -0.01800	 -0.01409	 -0.00228	 -0.00411	 -0.00495	 -0.00452	 -0.00041	 -0.00631	
b-fragmentation fraction		 0.00149	 -0.00034	 -0.00174	 0.00378	 -0.00154	 0.00466	 -0.00634	 0.00242	 0.00204	 -0.00468	 0.00099	 -0.00021	 0.00226	
b-fragmentation function		 0.00181	 0.00011	 0.00344	 0.00076	 0.00034	 0.00291	 0.00251	 0.00068	 0.00316	 0.00051	 0.00102	 0.00476	 0.00354	
charm-light ratio			 0.00782	 0.01096	 0.00181	 0.01178	 0.00972	 0.01227	 0.01125	 0.01090	 0.00043	 0.00451	 0.00217	 0.01380	 0.02158	
fake muons in b-jets			 0.00002	 -0.00011	 0.00016	 -0.00046	 -0.00013	 0.00017	 -0.00025	 -0.00069	 0.00011	 -0.00127	 -0.00110	 -0.00060	 -0.00143	
jet energy resolution			 -0.00462	 0.00374	 -0.02393	 -0.00222	 0.00325	 -0.00662	 -0.01771	 0.04000	 -0.01518	 -0.00496	 0.00574	 -0.00458	 -0.00846	
jet energy scale			 0.00269	 0.00070	 0.00402	 0.00060	 0.00445	 0.00106	 0.00554	 0.01207	 0.00477	 0.00215	 0.00214	 0.00094	 0.01023	
modelling of b-production		 0.00115	 0.00016	 0.00071	 0.00062	 0.00039	 0.00024	 0.00021	 0.00009	 0.00091	 0.00006	 0.00098	 0.00044	 0.00009	
modelling of c-production		 0.00087	 0.00140	 0.00475	 0.00697	 0.00007	 0.00138	 0.00836	 0.00937	 0.01654	 0.03066	 0.03806	 0.08480	 0.10147	
modelling of the b-hadron direction	 0.00249	 0.00414	 -0.00497	 -0.00192	 0.00059	 -0.00367	 0.00533	 0.00539	 0.00383	 0.00553	 0.00440	 0.01401	 0.01411	
muon pT spectrum			 -0.00218	 -0.00388	 -0.00556	 -0.00638	 -0.00124	 -0.00489	 -0.00239	 -0.00022	 -0.00441	 -0.00343	 -0.00569	 -0.01157	 0.00144	
pileup mu reweighting			 0.00307	 0.00103	 0.00461	 0.00555	 0.00026	 0.00041	 0.00176	 0.00663	 0.00177	 0.01306	 0.00227	 0.00204	 0.01431	
ptrel light template contamination	 -0.00201	 -0.00472	 -0.00538	 -0.00628	 -0.00463	 -0.00277	 -0.00684	 -0.00338	 -0.00719	 -0.00239	 -0.00193	 -0.00235	 -0.00131	
scale factor for inclusive b-jets	 0.03942	 0.03888	 0.03968	 0.03778	 0.03857	 0.03941	 0.03978	 0.03886	 0.04079	 0.03882	 0.03962	 0.04225	 0.04229	
semileptonic correction			 -0.00009	 -0.00052	 -0.00120	 0.00112	 -0.00132	 -0.00198	 0.00113	 -0.00014	 -0.00357	 0.00012	 -0.00287	 0.01162	 -0.00077	
simulation tagging efficiency		 0.01292	 0.01418	 0.01384	 0.01976	 0.01784	 0.00866	 0.00408	 0.00568	 0.00667	 0.01025	 0.01063	 0.00455	 0.00466	
