
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.03076	 0.04147	 0.04115	 0.01385	 0.04835	 0.01283	 0.02929	 0.03019	 0.02516	 0.03384	 0.06230	 0.06453	 0.03927	
b-decay branching fractions		 0.00075	 0.00149	 0.00085	 0.00067	 0.00067	 0.00042	 0.00217	 0.00004	 0.00065	 0.00202	 0.00017	 0.00069	 0.00047	
b-decay p* spectrum			 -0.02472	 -0.01023	 0.00706	 -0.01502	 -0.01199	 -0.02024	 -0.02935	 -0.00586	 -0.00110	 -0.01063	 0.00635	 -0.00060	 -0.00578	
b-fragmentation fraction		 -0.00016	 -0.00114	 -0.00325	 0.00083	 -0.00458	 -0.00212	 -0.00859	 0.00380	 -0.00088	 0.00603	 -0.00267	 0.00199	 -0.00129	
b-fragmentation function		 0.00027	 0.00274	 0.00059	 0.00189	 0.00181	 0.00306	 0.00327	 0.00056	 0.00120	 0.00241	 0.00193	 0.00929	 0.00783	
charm-light ratio			 0.01295	 0.02250	 0.01071	 0.02726	 0.01606	 0.01667	 0.01412	 0.01108	 0.00601	 0.00803	 0.00749	 0.01240	 0.02119	
fake muons in b-jets			 -0.00017	 0.00005	 0.00087	 -0.00325	 -0.00007	 -0.00007	 -0.00010	 0.00088	 -0.00007	 -0.00113	 -0.00064	 -0.00042	 -0.00083	
jet energy resolution			 0.00452	 0.00207	 -0.00981	 0.00178	 0.00201	 0.00149	 -0.00135	 0.00361	 0.00270	 0.00699	 0.00069	 -0.02542	 0.00126	
jet energy scale			 0.00381	 0.00145	 0.00587	 0.01844	 0.01121	 0.00111	 0.00433	 0.00787	 0.00512	 0.00356	 0.00820	 0.00593	 0.00273	
modelling of b-production		 0.00064	 0.00001	 0.00099	 0.00003	 0.00033	 0.00002	 0.00095	 0.00049	 0.00043	 0.00068	 0.00080	 0.00787	 0.00378	
modelling of c-production		 0.00167	 0.00610	 0.00345	 0.01663	 0.00101	 0.00272	 0.01478	 0.01248	 0.01850	 0.03308	 0.03723	 0.08717	 0.09805	
modelling of the b-hadron direction	 0.00123	 -0.00076	 0.00473	 -0.00051	 0.00205	 0.00152	 0.00353	 -0.00667	 0.00893	 0.01126	 0.01108	 0.00349	 0.02600	
muon pT spectrum			 0.00567	 0.00704	 0.00171	 0.00788	 0.01009	 -0.00010	 0.00627	 0.00938	 -0.00455	 -0.00327	 -0.00082	 -0.01329	 -0.01440	
pileup mu reweighting			 0.00734	 0.00562	 0.00531	 0.00445	 0.00433	 0.00634	 0.00247	 0.00445	 0.00467	 0.00408	 0.00727	 0.00133	 0.01565	
ptrel light template contamination	 -0.00219	 -0.00656	 -0.00610	 -0.01009	 -0.00628	 -0.00325	 -0.00610	 -0.00502	 -0.00718	 -0.00278	 -0.00182	 -0.00670	 -0.00033	
scale factor for inclusive b-jets	 0.03735	 0.03703	 0.03764	 0.03834	 0.03426	 0.03817	 0.03846	 0.03997	 0.03960	 0.03856	 0.03848	 0.04172	 0.04053	
semileptonic correction			 -0.00351	 0.00037	 0.00163	 -0.00256	 -0.00121	 -0.00165	 -0.00006	 -0.00025	 -0.00102	 0.00012	 0.00057	 0.00310	 -0.00331	
simulation tagging efficiency		 0.01033	 0.01339	 0.00825	 0.01646	 0.01712	 0.00883	 0.00422	 0.00611	 0.00689	 0.01041	 0.01059	 0.00440	 0.00424	
