
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.06848	 0.05822	 0.11701	 0.07932	 0.10381	 0.01465	 0.01800	 0.03968	 0.03152	 0.04151	 0.02888	 0.07490	 0.02502	
b-decay branching fractions		 0.00092	 0.00011	 0.00294	 0.00671	 0.00240	 0.00239	 0.00373	 0.00083	 0.00316	 0.00046	 0.00067	 0.00935	 0.00102	
b-decay p* spectrum			 -0.03561	 -0.05826	 -0.02179	 -0.01633	 -0.05787	 -0.08365	 -0.04017	 -0.00862	 -0.01529	 -0.01327	 -0.00875	 -0.00526	 -0.01244	
b-fragmentation fraction		 0.00371	 0.00160	 -0.00743	 0.01476	 -0.00560	 0.00481	 -0.01170	 0.00686	 0.00111	 -0.00592	 0.00413	 0.00286	 0.00428	
b-fragmentation function		 0.00738	 0.00121	 0.01086	 0.00455	 0.00760	 0.00472	 0.00910	 0.00185	 0.00592	 0.00126	 0.00013	 0.00460	 0.00445	
charm-light ratio			 0.01767	 0.02249	 0.00648	 0.02858	 0.02777	 0.01996	 0.01329	 0.01655	 0.00335	 0.00474	 0.00164	 0.02532	 0.03267	
fake muons in b-jets			 -0.00035	 -0.00053	 0.00140	 -0.00225	 -0.00081	 -0.00104	 0.00029	 -0.00069	 0.00062	 -0.00231	 -0.00017	 -0.00167	 -0.00075	
jet energy resolution			 -0.02953	 0.01115	 -0.05746	 -0.01549	 -0.01459	 -0.10959	 -0.01505	 0.08105	 -0.02235	 -0.01295	 0.00949	 -0.00741	 -0.01233	
jet energy scale			 0.01027	 0.00091	 0.01244	 0.00613	 0.03215	 0.02136	 0.01032	 0.02039	 0.01559	 0.01051	 0.00136	 0.00644	 0.01079	
modelling of b-production		 0.00208	 0.00074	 0.00179	 0.00074	 0.00186	 0.00063	 0.00038	 0.00134	 0.00139	 0.00032	 0.00147	 0.00024	 0.00179	
modelling of c-production		 0.00217	 0.00283	 0.01104	 0.01594	 0.00012	 0.00192	 0.01584	 0.01969	 0.03043	 0.05452	 0.06563	 0.12771	 0.13233	
modelling of the b-hadron direction	 0.00740	 0.01169	 -0.00883	 -0.01018	 -0.01169	 -0.00942	 0.01184	 0.00852	 0.00545	 0.00838	 0.00859	 0.02192	 0.01725	
muon pT spectrum			 -0.00708	 -0.01062	 -0.02079	 -0.02365	 -0.01927	 -0.02330	 -0.00526	 -0.00086	 -0.00963	 -0.00643	 -0.01132	 -0.01940	 -0.05070	
pileup mu reweighting			 0.00159	 0.00167	 0.01251	 0.01341	 0.00812	 0.00134	 0.00245	 0.01196	 0.00244	 0.01918	 0.00407	 0.00218	 0.01543	
ptrel light template contamination	 -0.00344	 -0.00945	 -0.00999	 -0.01207	 -0.01088	 -0.00530	 -0.00911	 -0.00496	 -0.01079	 -0.00316	 -0.00255	 -0.00300	 -0.00102	
scale factor for inclusive b-jets	 0.04180	 0.04056	 0.04554	 0.04323	 0.04277	 0.04275	 0.04265	 0.04305	 0.04442	 0.04116	 0.04109	 0.04414	 0.04016	
semileptonic correction			 -0.00119	 -0.00273	 -0.00391	 0.00682	 -0.01483	 -0.00698	 0.00224	 0.00033	 -0.00694	 -0.00025	 -0.00475	 0.01700	 -0.00111	
simulation tagging efficiency		 0.01497	 0.01565	 0.01277	 0.01870	 0.02029	 0.00893	 0.00441	 0.00622	 0.00734	 0.01116	 0.01161	 0.00487	 0.00497	
