
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.08834	 0.06707	 0.11710	 0.08663	 0.09151	 0.02349	 0.06004	 0.06325	 0.05247	 0.05432	 0.04426	 0.08483	 0.03589	
b-decay branching fractions		 0.00054	 0.00012	 0.00134	 0.00374	 0.00046	 0.00135	 0.00186	 0.00022	 0.00183	 0.00030	 0.00057	 0.00530	 0.00154	
b-decay p* spectrum			 -0.01981	 -0.01566	 -0.01371	 -0.00889	 -0.02552	 -0.03719	 -0.02022	 -0.00424	 -0.00644	 -0.00584	 -0.00330	 0.00358	 -0.00707	
b-fragmentation fraction		 0.00221	 -0.00042	 -0.00450	 0.00990	 -0.00245	 0.00610	 -0.00834	 0.00353	 0.00237	 -0.00497	 0.00299	 -0.00137	 0.00096	
b-fragmentation function		 0.00389	 0.00047	 0.00713	 0.00394	 0.00080	 0.00424	 0.00385	 0.00131	 0.00389	 0.00078	 0.00071	 0.00157	 0.00240	
charm-light ratio			 0.01121	 0.01556	 0.00299	 0.02046	 0.01648	 0.01642	 0.01306	 0.01348	 0.00009	 0.00368	 0.00169	 0.01228	 0.02232	
fake muons in b-jets			 -0.00002	 -0.00023	 0.00037	 -0.00144	 -0.00037	 -0.00016	 -0.00001	 -0.00070	 0.00028	 -0.00174	 -0.00065	 -0.00031	 -0.00106	
jet energy resolution			 -0.01065	 0.00635	 -0.03570	 -0.00812	 0.00239	 -0.01928	 -0.01968	 0.05093	 -0.01836	 -0.00961	 0.00705	 -0.01010	 -0.00837	
jet energy scale			 0.00625	 0.00024	 0.00893	 0.00361	 0.01338	 0.00180	 0.00709	 0.01482	 0.00798	 0.00524	 0.00070	 0.00218	 0.00924	
modelling of b-production		 0.00159	 0.00041	 0.00098	 0.00187	 0.00088	 0.00074	 0.00029	 0.00027	 0.00089	 0.00082	 0.00270	 0.00483	 0.00126	
modelling of c-production		 0.00113	 0.00198	 0.00738	 0.01117	 0.00026	 0.00178	 0.01056	 0.01004	 0.02125	 0.03541	 0.04783	 0.09168	 0.09914	
modelling of the b-hadron direction	 0.00382	 0.00796	 -0.00674	 -0.00213	 -0.00140	 -0.00601	 0.00428	 0.00656	 0.00618	 0.00775	 0.00715	 0.00931	 0.00789	
muon pT spectrum			 -0.00406	 -0.00608	 -0.01124	 -0.01370	 -0.00337	 -0.00808	 -0.00303	 -0.00036	 -0.00574	 -0.00350	 -0.00701	 -0.01133	 0.00007	
pileup mu reweighting			 0.00486	 0.00092	 0.00873	 0.00864	 0.00108	 0.00039	 0.00220	 0.00871	 0.00182	 0.01407	 0.00210	 0.00335	 0.01324	
ptrel light template contamination	 -0.00272	 -0.00676	 -0.00715	 -0.00951	 -0.00704	 -0.00397	 -0.00659	 -0.00356	 -0.00863	 -0.00264	 -0.00225	 -0.00272	 -0.00106	
scale factor for inclusive b-jets	 0.03552	 0.03409	 0.03874	 0.03564	 0.03453	 0.03704	 0.03614	 0.03533	 0.03806	 0.03451	 0.03580	 0.03687	 0.03547	
semileptonic correction			 -0.00035	 -0.00124	 -0.00268	 0.00256	 -0.00302	 -0.00453	 0.00180	 -0.00020	 -0.00404	 0.00032	 -0.00253	 0.00958	 -0.00196	
simulation tagging efficiency		 0.01518	 0.01603	 0.01390	 0.01876	 0.02128	 0.00973	 0.00458	 0.00633	 0.00746	 0.01123	 0.01171	 0.00490	 0.00509	
