
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.03279	 0.03409	 0.06756	 0.04185	 0.04893	 0.00585	 0.00773	 0.02075	 0.02616	 0.04046	 0.02549	 0.03160	 0.03134	
b-decay branching fractions		 0.00022	 0.00022	 0.00054	 0.00200	 0.00010	 0.00049	 0.00166	 0.00004	 0.00137	 0.00018	 0.00044	 0.00625	 0.00164	
b-decay p* spectrum			 -0.00982	 -0.01004	 -0.00883	 -0.00490	 -0.00829	 -0.02397	 -0.01683	 -0.00356	 -0.00432	 -0.00568	 -0.00276	 0.00107	 -0.00584	
b-fragmentation fraction		 0.00189	 -0.00014	 -0.00160	 0.00463	 -0.00135	 0.00539	 -0.00799	 0.00293	 0.00360	 -0.00483	 0.00237	 0.00027	 0.00275	
b-fragmentation function		 0.00149	 0.00055	 0.00398	 0.00097	 0.00067	 0.00248	 0.00322	 0.00066	 0.00393	 0.00093	 0.00156	 0.00498	 0.00371	
charm-light ratio			 0.00810	 0.01217	 0.00218	 0.01299	 0.01012	 0.01423	 0.01287	 0.01212	 0.00004	 0.00487	 0.00298	 0.01402	 0.02389	
fake muons in b-jets			 0.00010	 -0.00016	 0.00029	 -0.00052	 -0.00012	 0.00010	 -0.00027	 -0.00075	 0.00013	 -0.00136	 -0.00141	 -0.00070	 -0.00115	
jet energy resolution			 -0.00511	 0.00441	 -0.02661	 -0.00203	 0.00420	 -0.01004	 -0.01996	 0.04385	 -0.01916	 -0.00564	 0.00639	 -0.00425	 -0.01043	
jet energy scale			 0.00298	 0.00051	 0.00415	 0.00127	 0.00534	 0.00035	 0.00642	 0.01290	 0.00561	 0.00354	 0.00207	 0.00202	 0.01059	
modelling of b-production		 0.00140	 0.00019	 0.00077	 0.00086	 0.00037	 0.00052	 0.00025	 0.00013	 0.00106	 0.00041	 0.00166	 0.00107	 0.00142	
modelling of c-production		 0.00084	 0.00160	 0.00558	 0.00753	 0.00008	 0.00161	 0.00920	 0.01098	 0.01933	 0.03499	 0.04381	 0.09325	 0.11281	
modelling of the b-hadron direction	 0.00365	 0.00470	 -0.00522	 -0.00175	 -0.00002	 -0.00328	 0.00588	 0.00647	 0.00436	 0.00585	 0.00665	 0.01880	 0.01283	
muon pT spectrum			 -0.00212	 -0.00437	 -0.00682	 -0.00742	 -0.00126	 -0.00577	 -0.00284	 -0.00023	 -0.00532	 -0.00374	 -0.00609	 -0.01270	 0.00202	
pileup mu reweighting			 0.00484	 0.00145	 0.00525	 0.00624	 0.00106	 0.00022	 0.00181	 0.00763	 0.00192	 0.01472	 0.00212	 0.00298	 0.01493	
ptrel light template contamination	 -0.00219	 -0.00512	 -0.00588	 -0.00675	 -0.00488	 -0.00307	 -0.00720	 -0.00373	 -0.00790	 -0.00246	 -0.00204	 -0.00254	 -0.00115	
scale factor for inclusive b-jets	 0.03824	 0.03811	 0.03949	 0.03731	 0.03725	 0.03912	 0.03948	 0.03870	 0.04125	 0.03911	 0.03931	 0.04195	 0.04166	
semileptonic correction			 0.00028	 -0.00060	 -0.00151	 0.00162	 -0.00132	 -0.00230	 0.00148	 -0.00065	 -0.00408	 0.00051	 -0.00280	 0.01214	 -0.00111	
simulation tagging efficiency		 0.01328	 0.01422	 0.01415	 0.02008	 0.01821	 0.00884	 0.00413	 0.00575	 0.00677	 0.01037	 0.01076	 0.00459	 0.00474	
