
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.06191	 0.05383	 0.05854	 0.03124	 0.08461	 0.01637	 0.04719	 0.05576	 0.05513	 0.05096	 0.09456	 0.05681	 0.04430	
b-decay branching fractions		 0.00066	 0.00166	 0.00113	 0.00073	 0.00085	 0.00045	 0.00242	 0.00010	 0.00080	 0.00191	 0.00008	 0.00052	 0.00052	
b-decay p* spectrum			 -0.02981	 -0.01363	 0.00737	 -0.01567	 -0.01322	 -0.02269	 -0.03184	 -0.00623	 -0.00044	 -0.00984	 0.00662	 0.00241	 -0.00023	
b-fragmentation fraction		 -0.00118	 -0.00115	 -0.00351	 0.00019	 -0.00678	 -0.00148	 -0.01002	 0.00386	 -0.00036	 0.00601	 -0.00213	 0.00040	 -0.00128	
b-fragmentation function		 0.00078	 0.00273	 0.00071	 0.00088	 0.00168	 0.00187	 0.00374	 0.00044	 0.00119	 0.00224	 0.00246	 0.01099	 0.00705	
charm-light ratio			 0.01377	 0.02317	 0.01017	 0.02727	 0.01727	 0.01559	 0.01482	 0.01050	 0.00572	 0.00740	 0.00725	 0.01066	 0.01636	
fake muons in b-jets			 -0.00018	 0.00001	 0.00108	 -0.00349	 -0.00008	 0.00012	 -0.00006	 0.00072	 -0.00010	 -0.00114	 -0.00048	 -0.00006	 -0.00120	
jet energy resolution			 0.00571	 0.00036	 -0.00913	 0.00391	 0.00475	 -0.00197	 -0.00125	 0.00394	 0.00621	 0.00743	 0.00229	 -0.01837	 0.00483	
jet energy scale			 0.00704	 0.00237	 0.00683	 0.01816	 0.00544	 0.00396	 0.00531	 0.00786	 0.00623	 0.00251	 0.00835	 0.00633	 0.00368	
modelling of b-production		 0.00059	 0.00010	 0.00111	 0.00044	 0.00074	 0.00036	 0.00084	 0.00058	 0.00052	 0.00063	 0.00130	 0.00998	 0.00316	
modelling of c-production		 0.00184	 0.00666	 0.00342	 0.01585	 0.00102	 0.00255	 0.01585	 0.01257	 0.01877	 0.03074	 0.04051	 0.07993	 0.08831	
modelling of the b-hadron direction	 0.00313	 0.00096	 0.00516	 0.00428	 0.00417	 0.00244	 0.00441	 -0.00625	 0.01036	 0.01086	 0.01215	 0.00240	 0.02759	
muon pT spectrum			 0.00720	 0.00816	 0.00891	 0.00624	 0.01370	 0.00302	 0.00938	 0.01093	 -0.00329	 -0.00157	 0.00093	 -0.01113	 -0.01083	
pileup mu reweighting			 0.00899	 0.00577	 0.00576	 0.00482	 0.00537	 0.00631	 0.00215	 0.00409	 0.00524	 0.00375	 0.00693	 0.00188	 0.01586	
ptrel light template contamination	 -0.00239	 -0.00628	 -0.00630	 -0.00891	 -0.00752	 -0.00317	 -0.00594	 -0.00438	 -0.00655	 -0.00274	 -0.00190	 -0.00689	 -0.00030	
scale factor for inclusive b-jets	 0.03504	 0.03440	 0.03530	 0.03340	 0.03168	 0.03448	 0.03764	 0.03697	 0.03691	 0.03409	 0.03695	 0.03668	 0.03574	
semileptonic correction			 -0.00483	 0.00056	 0.00206	 -0.00319	 -0.00219	 -0.00251	 0.00048	 0.00007	 -0.00095	 0.00062	 0.00067	 0.00253	 -0.00281	
simulation tagging efficiency		 0.01108	 0.01550	 0.00919	 0.01364	 0.02017	 0.00914	 0.00469	 0.00658	 0.00741	 0.01103	 0.01145	 0.00463	 0.00456	
