
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.04256	 0.05199	 0.05910	 0.03352	 0.07338	 0.01348	 0.00916	 0.02681	 0.03356	 0.03352	 0.08974	 0.04203	 0.02444	
b-decay branching fractions		 0.00756	 0.00358	 0.00194	 0.00344	 0.00277	 0.01470	 0.00406	 0.00082	 0.00164	 0.00328	 0.00036	 0.00014	 0.00175	
b-decay p* spectrum			 -0.09330	 -0.06762	 0.01104	 -0.02244	 -0.02632	 -0.03009	 -0.04593	 -0.01720	 -0.00605	 -0.01856	 0.00318	 -0.04443	 -0.01087	
b-fragmentation fraction		 0.00044	 -0.00067	 -0.00523	 0.00453	 -0.01250	 0.01680	 -0.01251	 0.00540	 -0.00102	 0.00905	 -0.00353	 0.00209	 -0.00176	
b-fragmentation function		 0.00648	 0.00430	 0.00234	 0.00399	 0.00236	 0.01277	 0.00708	 0.00191	 0.00229	 0.00323	 0.00310	 0.01197	 0.01112	
charm-light ratio			 0.02442	 0.03572	 0.01267	 0.03909	 0.02860	 0.02083	 0.01977	 0.01175	 0.00591	 0.00926	 0.00761	 0.02026	 0.02730	
fake muons in b-jets			 -0.00655	 0.00025	 0.00261	 -0.00677	 0.00006	 -0.00660	 0.00016	 0.00152	 -0.00009	 -0.00181	 -0.00009	 -0.00136	 -0.00127	
jet energy resolution			 0.01367	 0.00102	 -0.01536	 0.02212	 0.01605	 0.00931	 0.00324	 0.00244	 0.00945	 0.01025	 0.00541	 -0.03542	 0.00275	
jet energy scale			 0.00676	 0.00234	 0.01945	 0.03556	 0.00406	 0.00880	 0.01140	 0.00703	 0.01319	 0.00211	 0.01131	 0.00375	 0.00227	
modelling of b-production		 0.00516	 0.00030	 0.00185	 0.00113	 0.00181	 0.00203	 0.00080	 0.00192	 0.00052	 0.00050	 0.00087	 0.00915	 0.00738	
modelling of c-production		 0.00398	 0.00969	 0.00488	 0.02240	 0.00192	 0.00299	 0.02255	 0.01922	 0.02815	 0.04458	 0.05452	 0.11359	 0.11555	
modelling of the b-hadron direction	 0.00331	 -0.00107	 0.00355	 0.01074	 0.00514	 0.01150	 0.00454	 -0.01231	 0.01386	 0.01684	 0.01595	 0.00441	 0.03424	
muon pT spectrum			 -0.03298	 0.00067	 -0.00095	 0.00498	 -0.00953	 -0.02201	 0.00953	 0.01224	 -0.00802	 -0.00551	 -0.00250	 -0.04462	 -0.06014	
pileup mu reweighting			 0.01000	 0.01071	 0.01056	 0.01412	 0.00752	 0.00287	 0.00625	 0.00557	 0.00771	 0.00597	 0.01144	 0.00062	 0.01962	
ptrel light template contamination	 -0.00305	 -0.00818	 -0.00908	 -0.01127	 -0.01000	 -0.00403	 -0.00785	 -0.00645	 -0.00792	 -0.00331	 -0.00206	 -0.00852	 -0.00032	
scale factor for inclusive b-jets	 0.04001	 0.03950	 0.04299	 0.04073	 0.03825	 0.03912	 0.04139	 0.04488	 0.04251	 0.04042	 0.04255	 0.04347	 0.04029	
semileptonic correction			 -0.01563	 0.00062	 0.00376	 -0.00378	 -0.00203	 -0.00363	 0.00073	 0.00131	 -0.00332	 0.00018	 0.00257	 0.00617	 -0.00416	
simulation tagging efficiency		 0.01153	 0.01468	 0.00875	 0.01555	 0.01925	 0.00947	 0.00443	 0.00650	 0.00720	 0.01095	 0.01130	 0.00481	 0.00450	
