
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.02510	 0.03491	 0.03533	 0.01237	 0.04339	 0.01000	 0.00730	 0.01431	 0.02858	 0.02353	 0.05909	 0.04051	 0.03354	
b-decay branching fractions		 0.00066	 0.00118	 0.00060	 0.00003	 0.00061	 0.00040	 0.00189	 0.00019	 0.00060	 0.00182	 0.00014	 0.00073	 0.00007	
b-decay p* spectrum			 -0.01879	 -0.00887	 0.00517	 -0.01053	 -0.00716	 -0.01635	 -0.02607	 -0.00348	 -0.00034	 -0.00914	 0.00749	 0.00140	 -0.00229	
b-fragmentation fraction		 -0.00044	 -0.00024	 -0.00223	 0.00025	 -0.00374	 -0.00077	 -0.00843	 0.00467	 -0.00091	 0.00477	 -0.00354	 0.00260	 -0.00121	
b-fragmentation function		 0.00056	 0.00238	 0.00085	 0.00080	 0.00138	 0.00336	 0.00284	 0.00006	 0.00072	 0.00249	 0.00209	 0.00931	 0.00712	
charm-light ratio			 0.01060	 0.01900	 0.00842	 0.02082	 0.01309	 0.01488	 0.01270	 0.01077	 0.00601	 0.00841	 0.00765	 0.01105	 0.01995	
fake muons in b-jets			 0.00001	 0.00003	 0.00085	 -0.00186	 -0.00009	 0.00008	 -0.00008	 0.00071	 -0.00010	 -0.00111	 -0.00075	 -0.00028	 -0.00104	
jet energy resolution			 0.00352	 -0.00027	 -0.00584	 -0.00104	 -0.00073	 0.00514	 -0.00218	 0.00253	 0.00451	 0.00808	 -0.00120	 -0.02424	 0.00322	
jet energy scale			 0.00344	 0.00141	 0.00495	 0.01258	 0.00635	 0.00037	 0.00385	 0.00781	 0.00550	 0.00349	 0.00802	 0.00605	 0.00339	
modelling of b-production		 0.00048	 0.00004	 0.00070	 0.00013	 0.00038	 0.00029	 0.00091	 0.00025	 0.00045	 0.00060	 0.00075	 0.00686	 0.00317	
modelling of c-production		 0.00137	 0.00515	 0.00260	 0.01331	 0.00084	 0.00230	 0.01323	 0.01140	 0.01674	 0.03132	 0.03496	 0.08531	 0.09908	
modelling of the b-hadron direction	 0.00066	 -0.00075	 0.00343	 -0.00100	 0.00117	 0.00126	 0.00341	 -0.00610	 0.00953	 0.01188	 0.01077	 0.00215	 0.02526	
muon pT spectrum			 0.00063	 0.00082	 -0.00034	 0.00305	 0.00322	 -0.00336	 0.00510	 0.00872	 -0.00379	 -0.00241	 -0.00105	 -0.01304	 -0.01335	
pileup mu reweighting			 0.00608	 0.00466	 0.00462	 0.00145	 0.00198	 0.00555	 0.00189	 0.00412	 0.00438	 0.00428	 0.00701	 0.00090	 0.01592	
ptrel light template contamination	 -0.00185	 -0.00560	 -0.00496	 -0.00802	 -0.00495	 -0.00282	 -0.00570	 -0.00442	 -0.00731	 -0.00290	 -0.00169	 -0.00676	 -0.00036	
scale factor for inclusive b-jets	 0.03790	 0.03812	 0.03876	 0.03945	 0.03662	 0.03914	 0.03957	 0.03930	 0.04000	 0.03904	 0.03919	 0.04250	 0.04154	
semileptonic correction			 -0.00320	 0.00011	 0.00088	 -0.00208	 -0.00018	 -0.00179	 0.00002	 -0.00041	 -0.00095	 0.00008	 0.00081	 0.00313	 -0.00317	
simulation tagging efficiency		 0.01103	 0.01320	 0.00807	 0.01625	 0.01753	 0.00840	 0.00414	 0.00593	 0.00676	 0.01023	 0.01039	 0.00434	 0.00418	
