
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.02411	 0.03243	 0.03459	 0.01273	 0.04442	 0.00588	 0.00582	 0.01406	 0.01118	 0.02118	 0.06201	 0.02583	 0.01768	
b-decay branching fractions		 0.00068	 0.00104	 0.00045	 0.00013	 0.00040	 0.00030	 0.00153	 0.00020	 0.00042	 0.00154	 0.00015	 0.00048	 0.00026	
b-decay p* spectrum			 -0.01748	 -0.00893	 0.00474	 -0.00934	 -0.00719	 -0.01503	 -0.02159	 -0.00256	 -0.00049	 -0.00869	 0.00692	 -0.00006	 -0.00386	
b-fragmentation fraction		 -0.00052	 -0.00024	 -0.00209	 -0.00003	 -0.00330	 -0.00060	 -0.00637	 0.00375	 -0.00072	 0.00408	 -0.00356	 0.00267	 -0.00165	
b-fragmentation function		 0.00036	 0.00230	 0.00063	 0.00069	 0.00112	 0.00303	 0.00254	 0.00037	 0.00062	 0.00209	 0.00182	 0.00674	 0.00656	
charm-light ratio			 0.01004	 0.01741	 0.00814	 0.01823	 0.01240	 0.01365	 0.01104	 0.00953	 0.00511	 0.00729	 0.00636	 0.01003	 0.01900	
fake muons in b-jets			 -0.00009	 -0.00002	 0.00066	 -0.00145	 -0.00012	 -0.00002	 -0.00007	 0.00057	 -0.00011	 -0.00089	 -0.00055	 -0.00061	 -0.00099	
jet energy resolution			 0.00447	 -0.00092	 -0.00660	 -0.00150	 -0.00029	 0.00473	 -0.00103	 0.00179	 0.00373	 0.00650	 -0.00233	 -0.02279	 0.00116	
jet energy scale			 0.00277	 0.00142	 0.00502	 0.01047	 0.00436	 0.00097	 0.00342	 0.00722	 0.00398	 0.00300	 0.00699	 0.00428	 0.00294	
modelling of b-production		 0.00051	 0.00006	 0.00067	 0.00010	 0.00031	 0.00031	 0.00080	 0.00010	 0.00032	 0.00045	 0.00055	 0.00582	 0.00287	
modelling of c-production		 0.00129	 0.00472	 0.00233	 0.01190	 0.00071	 0.00206	 0.01154	 0.01010	 0.01434	 0.02796	 0.03073	 0.07453	 0.09272	
modelling of the b-hadron direction	 0.00095	 -0.00004	 0.00280	 -0.00151	 0.00163	 0.00162	 0.00259	 -0.00586	 0.00779	 0.01015	 0.00862	 0.00434	 0.02366	
muon pT spectrum			 -0.00120	 0.00001	 -0.00120	 0.00123	 0.00120	 -0.00372	 0.00321	 0.00680	 -0.00293	 -0.00214	 -0.00163	 -0.01206	 -0.01177	
pileup mu reweighting			 0.00533	 0.00488	 0.00400	 0.00072	 0.00275	 0.00469	 0.00170	 0.00339	 0.00371	 0.00364	 0.00633	 0.00127	 0.01432	
ptrel light template contamination	 -0.00169	 -0.00523	 -0.00455	 -0.00740	 -0.00471	 -0.00258	 -0.00529	 -0.00407	 -0.00656	 -0.00283	 -0.00172	 -0.00559	 -0.00042	
scale factor for inclusive b-jets	 0.03868	 0.03851	 0.03929	 0.03925	 0.03746	 0.03953	 0.03959	 0.03927	 0.03949	 0.03912	 0.03933	 0.04232	 0.04240	
semileptonic correction			 -0.00294	 -0.00024	 0.00055	 -0.00169	 -0.00067	 -0.00160	 -0.00012	 -0.00054	 -0.00064	 -0.00026	 0.00094	 0.00302	 -0.00335	
simulation tagging efficiency		 0.01087	 0.01289	 0.00914	 0.01586	 0.01753	 0.00823	 0.00409	 0.00585	 0.00667	 0.01013	 0.01030	 0.00428	 0.00413	
