
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.04919	 0.04446	 0.08933	 0.07860	 0.07426	 0.02657	 0.04983	 0.05296	 0.04225	 0.04577	 0.04129	 0.07944	 0.03531	
b-decay branching fractions		 0.00044	 0.00036	 0.00108	 0.00362	 0.00031	 0.00094	 0.00194	 0.00021	 0.00169	 0.00035	 0.00038	 0.00624	 0.00172	
b-decay p* spectrum			 -0.01776	 -0.01517	 -0.01255	 -0.00935	 -0.01981	 -0.03331	 -0.02008	 -0.00409	 -0.00715	 -0.00653	 -0.00483	 0.00027	 -0.00758	
b-fragmentation fraction		 0.00282	 0.00053	 -0.00332	 0.00896	 -0.00194	 0.00623	 -0.00839	 0.00343	 0.00211	 -0.00464	 0.00229	 0.00016	 0.00114	
b-fragmentation function		 0.00360	 0.00081	 0.00584	 0.00292	 0.00133	 0.00410	 0.00429	 0.00097	 0.00421	 0.00060	 0.00017	 0.00482	 0.00406	
charm-light ratio			 0.01012	 0.01520	 0.00231	 0.01939	 0.01490	 0.01621	 0.01279	 0.01287	 0.00129	 0.00420	 0.00187	 0.01332	 0.02338	
fake muons in b-jets			 0.00006	 -0.00033	 0.00035	 -0.00131	 -0.00021	 -0.00003	 -0.00009	 -0.00080	 0.00028	 -0.00145	 -0.00041	 -0.00054	 -0.00135	
jet energy resolution			 -0.00723	 0.00771	 -0.03320	 -0.00783	 0.00568	 -0.01774	 -0.01864	 0.05067	 -0.01862	 -0.00705	 0.00739	 -0.00720	 -0.00765	
jet energy scale			 0.00591	 0.00039	 0.00681	 0.00190	 0.01063	 0.00009	 0.00736	 0.01452	 0.00717	 0.00506	 0.00082	 0.00196	 0.01129	
modelling of b-production		 0.00178	 0.00045	 0.00092	 0.00134	 0.00075	 0.00065	 0.00019	 0.00024	 0.00111	 0.00061	 0.00182	 0.00030	 0.00016	
modelling of c-production		 0.00103	 0.00189	 0.00701	 0.01082	 0.00035	 0.00179	 0.00993	 0.01025	 0.02068	 0.03579	 0.04627	 0.09226	 0.10945	
modelling of the b-hadron direction	 0.00364	 0.00774	 -0.00728	 -0.00335	 -0.00202	 -0.00436	 0.00646	 0.00664	 0.00411	 0.00709	 0.00631	 0.01419	 0.01172	
muon pT spectrum			 -0.00353	 -0.00581	 -0.00973	 -0.01313	 -0.00198	 -0.00703	 -0.00302	 -0.00040	 -0.00606	 -0.00377	 -0.00732	 -0.01270	 0.00129	
pileup mu reweighting			 0.00511	 0.00221	 0.00738	 0.00949	 0.00197	 0.00001	 0.00196	 0.00829	 0.00184	 0.01468	 0.00253	 0.00335	 0.01470	
ptrel light template contamination	 -0.00236	 -0.00648	 -0.00670	 -0.00960	 -0.00666	 -0.00368	 -0.00673	 -0.00379	 -0.00912	 -0.00203	 -0.00248	 -0.00251	 -0.00111	
scale factor for inclusive b-jets	 0.03586	 0.03564	 0.03801	 0.03669	 0.03479	 0.03711	 0.03691	 0.03693	 0.03950	 0.03694	 0.03747	 0.03991	 0.03909	
semileptonic correction			 -0.00017	 -0.00135	 -0.00185	 0.00238	 -0.00228	 -0.00368	 0.00203	 -0.00035	 -0.00447	 0.00044	 -0.00285	 0.01151	 -0.00157	
simulation tagging efficiency		 0.01383	 0.01463	 0.01244	 0.01748	 0.01875	 0.00870	 0.00432	 0.00600	 0.00709	 0.01069	 0.01114	 0.00472	 0.00490	
