
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.08631	 0.10581	 0.16540	 0.13789	 0.13307	 0.08383	 0.08582	 0.08731	 0.06369	 0.09492	 0.05536	 0.10927	 0.05695	
b-decay branching fractions		 0.00047	 0.00002	 0.00126	 0.00261	 0.00045	 0.00094	 0.00137	 0.00009	 0.00168	 0.00006	 0.00060	 0.00596	 0.00159	
b-decay p* spectrum			 -0.01585	 -0.01706	 -0.01320	 -0.00785	 -0.02066	 -0.02907	 -0.01433	 -0.00483	 -0.00687	 -0.00607	 -0.00230	 -0.00135	 -0.00446	
b-fragmentation fraction		 0.00244	 0.00056	 -0.00470	 0.00794	 -0.00208	 0.00616	 -0.00727	 0.00257	 0.00257	 -0.00460	 0.00318	 0.00111	 0.00040	
b-fragmentation function		 0.00232	 0.00109	 0.00534	 0.00522	 0.00052	 0.00305	 0.00338	 0.00084	 0.00378	 0.00068	 0.00173	 0.00265	 0.00339	
charm-light ratio			 0.00992	 0.01411	 0.00170	 0.01547	 0.01347	 0.01309	 0.01246	 0.01227	 0.00007	 0.00375	 0.00248	 0.01318	 0.02080	
fake muons in b-jets			 -0.00001	 -0.00013	 0.00041	 -0.00137	 -0.00032	 0.00009	 -0.00002	 -0.00039	 0.00020	 -0.00156	 -0.00107	 -0.00060	 -0.00128	
jet energy resolution			 -0.00865	 0.00695	 -0.03413	 -0.00806	 0.00180	 -0.01112	 -0.02175	 0.03992	 -0.01632	 -0.00733	 0.00781	 -0.00782	 -0.00731	
jet energy scale			 0.00462	 0.00171	 0.00708	 0.00067	 0.01202	 0.00073	 0.00791	 0.01116	 0.00730	 0.00433	 0.00075	 0.00245	 0.00677	
modelling of b-production		 0.00093	 0.00042	 0.00073	 0.00199	 0.00057	 0.00072	 0.00021	 0.00017	 0.00083	 0.00054	 0.00121	 0.00329	 0.00098	
modelling of c-production		 0.00123	 0.00202	 0.00664	 0.00950	 0.00006	 0.00134	 0.00900	 0.00841	 0.01985	 0.03264	 0.03989	 0.08908	 0.09566	
modelling of the b-hadron direction	 0.00315	 0.01057	 -0.00501	 -0.00253	 -0.00295	 -0.00158	 0.00307	 0.00584	 0.00600	 0.00354	 0.00657	 0.01248	 0.00643	
muon pT spectrum			 -0.00315	 -0.00570	 -0.01091	 -0.01009	 -0.00266	 -0.00544	 -0.00239	 -0.00013	 -0.00566	 -0.00335	 -0.00560	 -0.01216	 0.00211	
pileup mu reweighting			 0.00235	 0.00100	 0.00826	 0.00648	 0.00283	 0.00002	 0.00194	 0.00781	 0.00187	 0.01284	 0.00223	 0.00244	 0.01352	
ptrel light template contamination	 -0.00244	 -0.00624	 -0.00629	 -0.00785	 -0.00561	 -0.00295	 -0.00639	 -0.00348	 -0.00864	 -0.00266	 -0.00202	 -0.00200	 -0.00114	
scale factor for inclusive b-jets	 0.03247	 0.03426	 0.03678	 0.03160	 0.03081	 0.03278	 0.03416	 0.03417	 0.03808	 0.03379	 0.03420	 0.03801	 0.03634	
semileptonic correction			 -0.00055	 -0.00207	 -0.00225	 0.00093	 -0.00213	 -0.00354	 0.00144	 -0.00126	 -0.00352	 0.00008	 -0.00153	 0.01026	 -0.00108	
simulation tagging efficiency		 0.01517	 0.01678	 0.01072	 0.01983	 0.02182	 0.01238	 0.00506	 0.00681	 0.00803	 0.01186	 0.01227	 0.00504	 0.00523	
