
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.05630	 0.06329	 0.09814	 0.08851	 0.08581	 0.03819	 0.06850	 0.06348	 0.03080	 0.04252	 0.02401	 0.07542	 0.03066	
b-decay branching fractions		 0.00036	 0.00006	 0.00079	 0.00211	 0.00016	 0.00054	 0.00142	 0.00008	 0.00170	 0.00011	 0.00049	 0.00702	 0.00148	
b-decay p* spectrum			 -0.01316	 -0.01416	 -0.01141	 -0.00533	 -0.01312	 -0.02550	 -0.01399	 -0.00323	 -0.00662	 -0.00621	 -0.00611	 -0.00329	 -0.00995	
b-fragmentation fraction		 0.00249	 0.00082	 -0.00354	 0.00815	 -0.00203	 0.00667	 -0.00681	 0.00235	 0.00334	 -0.00432	 0.00213	 0.00073	 0.00165	
b-fragmentation function		 0.00189	 0.00138	 0.00340	 0.00419	 0.00124	 0.00369	 0.00358	 0.00115	 0.00361	 0.00036	 0.00123	 0.00816	 0.00434	
charm-light ratio			 0.00917	 0.01337	 0.00066	 0.01403	 0.01140	 0.01288	 0.01098	 0.01168	 0.00079	 0.00375	 0.00152	 0.01571	 0.02578	
fake muons in b-jets			 0.00007	 -0.00020	 0.00020	 -0.00126	 -0.00015	 0.00009	 -0.00008	 -0.00047	 0.00023	 -0.00141	 -0.00062	 -0.00089	 -0.00176	
jet energy resolution			 -0.00798	 0.00787	 -0.02940	 -0.00426	 0.00420	 -0.00926	 -0.01683	 0.04004	 -0.01639	 -0.00697	 0.00572	 -0.00602	 -0.00607	
jet energy scale			 0.00462	 0.00098	 0.00535	 0.00150	 0.00614	 0.00121	 0.00582	 0.01183	 0.00709	 0.00331	 0.00081	 0.00268	 0.01009	
modelling of b-production		 0.00107	 0.00047	 0.00031	 0.00181	 0.00058	 0.00031	 0.00006	 0.00005	 0.00076	 0.00016	 0.00007	 0.00327	 0.00236	
modelling of c-production		 0.00106	 0.00182	 0.00563	 0.00830	 0.00030	 0.00161	 0.00787	 0.00713	 0.01900	 0.03181	 0.03999	 0.09484	 0.11380	
modelling of the b-hadron direction	 0.00478	 0.00690	 -0.00553	 0.00227	 -0.00087	 -0.00403	 0.00447	 0.00542	 0.00612	 0.00550	 0.00379	 0.01662	 0.01747	
muon pT spectrum			 -0.00265	 -0.00505	 -0.00802	 -0.00795	 -0.00111	 -0.00416	 -0.00223	 -0.00019	 -0.00540	 -0.00352	 -0.00646	 -0.01423	 0.00081	
pileup mu reweighting			 0.00394	 0.00196	 0.00653	 0.00728	 0.00074	 0.00081	 0.00138	 0.00714	 0.00188	 0.01283	 0.00299	 0.00233	 0.01466	
ptrel light template contamination	 -0.00210	 -0.00641	 -0.00551	 -0.00782	 -0.00509	 -0.00272	 -0.00594	 -0.00349	 -0.00863	 -0.00265	 -0.00227	 -0.00203	 -0.00128	
scale factor for inclusive b-jets	 0.03425	 0.03528	 0.03612	 0.03297	 0.03245	 0.03278	 0.03548	 0.03500	 0.03916	 0.03555	 0.03672	 0.04269	 0.04168	
semileptonic correction			 -0.00026	 -0.00156	 -0.00149	 0.00036	 -0.00122	 -0.00267	 0.00134	 -0.00060	 -0.00414	 -0.00011	 -0.00254	 0.01375	 -0.00112	
simulation tagging efficiency		 0.01512	 0.01485	 0.01661	 0.01803	 0.02264	 0.01029	 0.00470	 0.00640	 0.00755	 0.01122	 0.01163	 0.00479	 0.00510	
