
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.03986	 0.04021	 0.08428	 0.06822	 0.06116	 0.01228	 0.03125	 0.03252	 0.03703	 0.03179	 0.03365	 0.05246	 0.03886	
b-decay branching fractions		 0.00033	 0.00037	 0.00080	 0.00329	 0.00017	 0.00066	 0.00193	 0.00017	 0.00164	 0.00022	 0.00037	 0.00639	 0.00138	
b-decay p* spectrum			 -0.01394	 -0.01304	 -0.01202	 -0.00813	 -0.01270	 -0.02959	 -0.01989	 -0.00411	 -0.00661	 -0.00631	 -0.00449	 0.00072	 -0.00799	
b-fragmentation fraction		 0.00202	 -0.00024	 -0.00216	 0.00770	 -0.00166	 0.00561	 -0.00876	 0.00343	 0.00237	 -0.00454	 0.00210	 0.00077	 0.00299	
b-fragmentation function		 0.00273	 0.00060	 0.00556	 0.00231	 0.00069	 0.00234	 0.00421	 0.00069	 0.00435	 0.00093	 0.00091	 0.00359	 0.00456	
charm-light ratio			 0.00983	 0.01454	 0.00279	 0.01832	 0.01340	 0.01666	 0.01315	 0.01312	 0.00054	 0.00438	 0.00237	 0.01479	 0.02469	
fake muons in b-jets			 0.00008	 -0.00031	 0.00051	 -0.00100	 -0.00011	 -0.00000	 -0.00023	 -0.00082	 0.00021	 -0.00130	 -0.00084	 -0.00050	 -0.00066	
jet energy resolution			 -0.00641	 0.00600	 -0.03370	 -0.00561	 0.00889	 -0.01648	 -0.01950	 0.05088	 -0.02045	 -0.00732	 0.00875	 -0.00620	 -0.01003	
jet energy scale			 0.00505	 0.00025	 0.00523	 0.00159	 0.00728	 0.00000	 0.00696	 0.01448	 0.00712	 0.00500	 0.00134	 0.00152	 0.01083	
modelling of b-production		 0.00174	 0.00032	 0.00079	 0.00171	 0.00055	 0.00070	 0.00023	 0.00025	 0.00115	 0.00052	 0.00169	 0.00022	 0.00058	
modelling of c-production		 0.00106	 0.00179	 0.00733	 0.01053	 0.00038	 0.00187	 0.00984	 0.01180	 0.02168	 0.03696	 0.04478	 0.09575	 0.11046	
modelling of the b-hadron direction	 0.00330	 0.00612	 -0.00714	 -0.00158	 -0.00111	 -0.00522	 0.00687	 0.00658	 0.00440	 0.00672	 0.00496	 0.01348	 0.01158	
muon pT spectrum			 -0.00257	 -0.00555	 -0.00972	 -0.01181	 -0.00100	 -0.00729	 -0.00306	 -0.00035	 -0.00615	 -0.00369	 -0.00691	 -0.01242	 0.00019	
pileup mu reweighting			 0.00433	 0.00183	 0.00768	 0.00986	 0.00299	 0.00076	 0.00172	 0.00824	 0.00220	 0.01446	 0.00273	 0.00227	 0.01432	
ptrel light template contamination	 -0.00235	 -0.00588	 -0.00701	 -0.00989	 -0.00603	 -0.00387	 -0.00733	 -0.00399	 -0.00940	 -0.00234	 -0.00222	 -0.00249	 -0.00116	
scale factor for inclusive b-jets	 0.03744	 0.03753	 0.04051	 0.03841	 0.03640	 0.03966	 0.03836	 0.03917	 0.04179	 0.03819	 0.03816	 0.04104	 0.04027	
semileptonic correction			 0.00021	 -0.00081	 -0.00201	 0.00230	 -0.00177	 -0.00311	 0.00187	 -0.00043	 -0.00464	 0.00044	 -0.00293	 0.01222	 -0.00136	
simulation tagging efficiency		 0.01322	 0.01447	 0.01199	 0.01896	 0.01802	 0.00836	 0.00422	 0.00590	 0.00697	 0.01052	 0.01096	 0.00462	 0.00481	
