
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.04260	 0.04229	 0.08601	 0.05840	 0.06153	 0.01658	 0.03494	 0.05493	 0.03301	 0.03581	 0.04265	 0.07177	 0.03612	
b-decay branching fractions		 0.00040	 0.00040	 0.00086	 0.00339	 0.00023	 0.00076	 0.00211	 0.00021	 0.00184	 0.00027	 0.00047	 0.00607	 0.00150	
b-decay p* spectrum			 -0.01443	 -0.01274	 -0.01150	 -0.00771	 -0.01095	 -0.03073	 -0.02146	 -0.00494	 -0.00792	 -0.00665	 -0.00411	 0.00240	 -0.00775	
b-fragmentation fraction		 0.00229	 0.00025	 -0.00219	 0.00800	 -0.00125	 0.00545	 -0.00927	 0.00368	 0.00221	 -0.00475	 0.00263	 0.00000	 0.00237	
b-fragmentation function		 0.00317	 0.00077	 0.00543	 0.00292	 0.00096	 0.00252	 0.00499	 0.00057	 0.00423	 0.00120	 0.00114	 0.00282	 0.00413	
charm-light ratio			 0.00995	 0.01522	 0.00274	 0.01862	 0.01303	 0.01746	 0.01345	 0.01356	 0.00129	 0.00444	 0.00233	 0.01441	 0.02392	
fake muons in b-jets			 0.00008	 -0.00036	 0.00041	 -0.00118	 -0.00011	 -0.00016	 -0.00014	 -0.00086	 0.00031	 -0.00155	 -0.00085	 -0.00055	 -0.00083	
jet energy resolution			 -0.00628	 0.00792	 -0.03505	 -0.00671	 0.01125	 -0.01819	 -0.01900	 0.05137	 -0.01780	 -0.00816	 0.00850	 -0.00792	 -0.00940	
jet energy scale			 0.00508	 0.00014	 0.00601	 0.00241	 0.00640	 0.00044	 0.00759	 0.01473	 0.00831	 0.00562	 0.00066	 0.00134	 0.01046	
modelling of b-production		 0.00190	 0.00027	 0.00086	 0.00179	 0.00042	 0.00068	 0.00013	 0.00025	 0.00121	 0.00060	 0.00232	 0.00245	 0.00003	
modelling of c-production		 0.00098	 0.00194	 0.00755	 0.01068	 0.00042	 0.00200	 0.01033	 0.01249	 0.02217	 0.03868	 0.04914	 0.09583	 0.10850	
modelling of the b-hadron direction	 0.00333	 0.00749	 -0.00756	 -0.00160	 -0.00056	 -0.00579	 0.00717	 0.00693	 0.00360	 0.00682	 0.00679	 0.01325	 0.01150	
muon pT spectrum			 -0.00288	 -0.00566	 -0.00950	 -0.01213	 -0.00053	 -0.00749	 -0.00328	 -0.00038	 -0.00662	 -0.00394	 -0.00721	 -0.01218	 0.00056	
pileup mu reweighting			 0.00524	 0.00225	 0.00745	 0.00925	 0.00383	 0.00057	 0.00162	 0.00881	 0.00220	 0.01496	 0.00245	 0.00232	 0.01419	
ptrel light template contamination	 -0.00240	 -0.00600	 -0.00734	 -0.01001	 -0.00616	 -0.00395	 -0.00745	 -0.00409	 -0.00963	 -0.00238	 -0.00247	 -0.00270	 -0.00105	
scale factor for inclusive b-jets	 0.03670	 0.03686	 0.04017	 0.03873	 0.03587	 0.03916	 0.03844	 0.03892	 0.04127	 0.03781	 0.03821	 0.03969	 0.03847	
semileptonic correction			 0.00022	 -0.00083	 -0.00175	 0.00264	 -0.00159	 -0.00321	 0.00184	 -0.00084	 -0.00497	 0.00046	 -0.00294	 0.01185	 -0.00142	
simulation tagging efficiency		 0.01327	 0.01464	 0.01211	 0.01874	 0.01801	 0.00839	 0.00427	 0.00597	 0.00708	 0.01069	 0.01116	 0.00467	 0.00493	
