
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.05740	 0.03203	 0.07003	 0.03946	 0.08192	 0.02539	 0.04470	 0.06002	 0.05215	 0.05320	 0.08650	 0.06168	 0.04890	
b-decay branching fractions		 0.00064	 0.00135	 0.00116	 0.00006	 0.00070	 0.00043	 0.00201	 0.00011	 0.00077	 0.00183	 0.00012	 0.00048	 0.00038	
b-decay p* spectrum			 -0.02712	 -0.01181	 0.00773	 -0.01449	 -0.01203	 -0.01843	 -0.02793	 -0.00615	 -0.00102	 -0.01005	 0.00556	 0.00172	 -0.00289	
b-fragmentation fraction		 -0.00038	 -0.00055	 -0.00335	 -0.00060	 -0.00549	 -0.00153	 -0.00865	 0.00311	 -0.00049	 0.00533	 -0.00224	 0.00156	 -0.00183	
b-fragmentation function		 0.00141	 0.00311	 0.00044	 0.00088	 0.00147	 0.00192	 0.00286	 0.00124	 0.00141	 0.00211	 0.00192	 0.00953	 0.00690	
charm-light ratio			 0.01262	 0.02175	 0.00993	 0.02363	 0.01606	 0.01422	 0.01301	 0.00983	 0.00561	 0.00737	 0.00698	 0.01024	 0.01804	
fake muons in b-jets			 -0.00013	 0.00001	 0.00099	 -0.00292	 -0.00007	 -0.00001	 -0.00010	 0.00079	 -0.00012	 -0.00123	 -0.00054	 -0.00033	 -0.00089	
jet energy resolution			 0.00561	 0.00046	 -0.00773	 0.00180	 0.00341	 -0.00105	 -0.00291	 0.00473	 0.00307	 0.00656	 0.00146	 -0.02034	 0.00159	
jet energy scale			 0.00362	 0.00132	 0.00700	 0.01439	 0.01371	 0.00227	 0.00355	 0.00713	 0.00538	 0.00327	 0.00774	 0.00582	 0.00346	
modelling of b-production		 0.00065	 0.00006	 0.00115	 0.00040	 0.00063	 0.00025	 0.00087	 0.00048	 0.00061	 0.00094	 0.00110	 0.00928	 0.00241	
modelling of c-production		 0.00161	 0.00616	 0.00331	 0.01384	 0.00078	 0.00238	 0.01391	 0.01155	 0.01853	 0.02979	 0.03743	 0.08108	 0.08987	
modelling of the b-hadron direction	 0.00374	 0.00024	 0.00447	 0.00128	 0.00327	 0.00184	 0.00325	 -0.00539	 0.00931	 0.01016	 0.01053	 0.00320	 0.02367	
muon pT spectrum			 0.00810	 0.00973	 0.00857	 0.01116	 0.01691	 0.00403	 0.00866	 0.00958	 -0.00280	 -0.00167	 0.00031	 -0.01143	 -0.01073	
pileup mu reweighting			 0.00908	 0.00487	 0.00618	 0.00226	 0.00592	 0.00527	 0.00172	 0.00391	 0.00491	 0.00372	 0.00665	 0.00219	 0.01493	
ptrel light template contamination	 -0.00213	 -0.00603	 -0.00629	 -0.00834	 -0.00649	 -0.00287	 -0.00524	 -0.00430	 -0.00647	 -0.00281	 -0.00202	 -0.00706	 -0.00030	
scale factor for inclusive b-jets	 0.03371	 0.03389	 0.03529	 0.03159	 0.03133	 0.03284	 0.03523	 0.03594	 0.03756	 0.03436	 0.03594	 0.03817	 0.03674	
semileptonic correction			 -0.00442	 0.00043	 0.00213	 -0.00252	 -0.00115	 -0.00150	 0.00001	 -0.00038	 -0.00117	 0.00008	 0.00043	 0.00252	 -0.00330	
simulation tagging efficiency		 0.01053	 0.01561	 0.00926	 0.01128	 0.02027	 0.00927	 0.00460	 0.00653	 0.00738	 0.01097	 0.01128	 0.00469	 0.00447	
